cas	dist	proportion	est	se	lcl	ucl	wt	method	nboot	pboot	samples	is_bestfit	Chemical	Chemical_name	Species	Type
52645-53-1	average	0.05	0.000156201359645142	0.000500635667816124	4.86847402005354e-06	0.00157939611509679	1	parametric	10000	0.9999	numeric(0)	No	52645-53-1	Permethrin	10	chronic
52-68-6	average	0.05	0.000293729312441872	0.00342062179960775	4.23971926037622e-06	0.00793535534639169	1	parametric	10000	1	numeric(0)	No	52-68-6	Trichlorfon	11	chronic
2921-88-2	average	0.05	0.000342085493496148	0.000420350212889367	4.84048054368642e-05	0.00154468359758981	1	parametric	10000	1	numeric(0)	No	2921-88-2	Chlorpyrifos	21	chronic
1912-24-9	average	0.05	0.001138369135619	0.00351741189736417	5.86793838954057e-05	0.0117376993033548	1	parametric	10000	1	numeric(0)	No	1912-24-9	Atrazine	19	chronic
1897-45-6	average	0.05	0.00122374289666952	0.00241981452695019	7.56385819448924e-05	0.00852473576276672	1	parametric	10000	0.9997	numeric(0)	No	1897-45-6	Chlorothalonil	10	chronic
121-75-5	average	0.05	0.00261313496605096	0.0128502197366146	0.00018512364436309	0.0413626134135701	1	parametric	10000	1	numeric(0)	No	121-75-5	Malathion	16	chronic
63-25-2	average	0.05	0.00404752734464591	0.0162164548285631	0.000309196778239449	0.0540940947670266	1	parametric	10000	1	numeric(0)	No	63-25-2	Carbaryl	15	chronic
7758-98-7	average	0.05	0.0139139660102551	0.00515483660341929	0.00730162843062151	0.027304976871505	1	parametric	10000	1	numeric(0)	No	7758-98-7	Copper sulfate	33	chronic
1071-83-6	average	0.05	0.0209677875971349	0.0935282383244337	0.000493887226330764	0.2922481040285	1	parametric	10000	1	numeric(0)	No	1071-83-6	Glyphosate	15	chronic
62-73-7	average	0.05	0.0219120702282354	0.0419882711013363	0.00279926395383388	0.152185116713867	1	parametric	10000	0.9999	numeric(0)	No	62-73-7	Dichlorvos	13	chronic
122-34-9	average	0.05	0.026328434219807	0.158742369932144	0.000739115321083293	0.477797928649678	1	parametric	10000	0.9996	numeric(0)	No	122-34-9	Simazine	9	chronic
12125-02-9	average	0.05	0.0512567127065743	0.0736123814066109	0.00386924623208625	0.266414413921605	1	parametric	10000	0.9999	numeric(0)	No	12125-02-9	Ammonium chloride	17	chronic
7722-64-7	average	0.05	0.110245533493232	0.24065828110456	0.0102036486614367	0.858825639597152	1	parametric	10000	0.9996	numeric(0)	No	7722-64-7	Potassium permanganate	8	chronic
79-57-2	average	0.05	0.492417421531147	6.62914283486978	0.00987295416078404	18.1206538725702	1	parametric	10000	0.9996	numeric(0)	No	79-57-2	Oxytetracycline	10	chronic
52918-63-5	average	0.05	1.27249453577485e-05	1.21507604006989e-05	1.69308847485639e-06	4.76682275636914e-05	1	parametric	10000	1	numeric(0)	No	52918-63-5	Deltametrin	16	chronic
50-00-0	average	0.05	1.90223140278551	2.36383038151538	0.275888216626594	8.9789641914976	1	parametric	10000	0.9999	numeric(0)	No	50-00-0	Formalin	20	chronic
52315-07-8	average	0.05	2.64807480966977e-05	8.47637841307397e-05	1.1456580655382e-06	0.000221361428931918	1	parametric	10000	0.9999	numeric(0)	No	52315-07-8	Cypermethrin	13	chronic
7647-14-5	average	0.05	38.9982070687047	243.561293555339	1.91156563884424	716.366422516039	1	parametric	10000	1	numeric(0)	No	7647-14-5	Sodium chloride	13	chronic
7722-84-1	average	0.05	4.97113869787419	6.7878662556479	0.756660037580723	25.6043923933579	1	parametric	10000	0.9999	numeric(0)	No	7722-84-1	Hydrogen Peroxide	10	chronic
330-54-1	average	0.05	7.76360626980069e-05	0.00146632237951411	1.0479899724923e-06	0.00337149283789567	1	parametric	10000	0.9997	numeric(0)	No	330-54-1	Diuron	10	chronic
