id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	AW30726K				Edwardsiella ictaluri	mg/mL	0.36	0.36	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Vagococcus spp.	µL/mL	6.25	6.25	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Yersinia ruckeri	µL/mL	6.25	6.25	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Escherichia vulgaris	µL/mL	25.0	25.0	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Yersinia spp.	µL/mL	6.25	6.25	-	-	Antibacterial
RID00005	CID:101405	CAS:3117-03-1	2,5-dimethoxy-1,4-benzoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	Gyrodactylus kobayashii	mg/L	1.709	1.709	-	-	Anthelmintic
RID00050	CID:14982	CAS:1405-86-3	Glycyrrhizic acid	Compound	38659458	In vitro	LY21811				Nocardia seriolae	mg/mL	0.5	0.5	-	-	Antibacterial
RID10138			GF-7 (Galla Chinensis+Mangosteen shell+Pomegranate peel+Scutellaria baicalensis Georgi extracts)	Mixture	37333660	In vitro	ATCC15947				Edwardsiella tarda	mg/mL	0.18	0.18	-	-	Antibacterial
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Yersinia enterocolitica	µL/mL	6.25	6.25	-	-	Antibacterial
RID10142			Glycyrrhiza uralensis root extract	Mixture	31494148	In vitro	Epithelioma papulosum cyprini (EPC) cells	Pimephales promelas			Infectious hematopoietic necrosis virus (IHNV)	mg/L	100.0	100.0	-	-	Antiviral
RID10150			Hesperozygis ringens whole plant hexane extract	Mixture	30735293	In vitro	MF372511				Citrobacter freundii	μg/mL	6400.0	6400.0	-	-	Antibacterial
RID10143			Gracilaria gracilis whole plant ethanol extract	Mixture	30544601	In vitro	Bacteria				Bacillus subtilis	μg	50.0-200.0	50.0-200.0	-	-	Antibacterial
RID10150			Hesperozygis ringens whole plant hexane extract	Mixture	30735293	In vitro	MH397688				Aeromonas veronii	μg/mL	1600.0	1600.0	-	-	Antibacterial
RID10150			Hesperozygis ringens whole plant hexane extract	Mixture	30735293	In vitro	MH397689				Aeromonas hydrophila	μg/mL	3200.0	3200.0	-	-	Antibacterial
RID10150			Hesperozygis ringens whole plant hexane extract	Mixture	30735293	In vivo	MF 372510	Rhamdia quelen	Juvenile		Aeromonas hydrophila	mg/l	15.0-30.0	15.0-30.0	-	-	Antibacterial
RID00357			Hydrogenated magnolol	Compound	35891401	In vitro	Grass carp ovary (GCO) cell line	Ctenopharyngodon idella			Micropterus salmoides rhabdovirus (MSRV)	μM	13.37-28.89	13.37-28.89	-	-	Antiviral
RID00357			Hydrogenated magnolol	Compound	35891401	In vivo		Micropterus salmoides		Intraperitoneally injected	Micropterus salmoides rhabdovirus (MSRV)	mg/kg	20.0	20.0	-	-	Antiviral
RID10151			Isaria cicadae spent substrate	Mixture	37003497	In vivo		Larimichthys crocea		Diet		%	2.0-6.0	2.0-6.0	-	-	Antioxidant
RID10137			Gaultheria procumbens leaf extract	Mixture	34206270	In vitro	Bacteria				Enterococcus aquimarinus	µL/mL	3.12	3.12	-	-	Antibacterial
RID10151			Isaria cicadae spent substrate	Mixture	37003497	In vivo		Larimichthys crocea		Diet		%	2.0-6.0	2.0-6.0	-	-	Biochemistry modulator
RID10151			Isaria cicadae spent substrate	Mixture	37003497	In vivo		Larimichthys crocea		Diet		%	2.0-6.0	2.0-6.0	-	-	Immunostimulant
RID10152			Juncus effusus whole plant extract	Mixture	34227114	In vivo		Procambarus clarkii		Injected	White spot syndrome virus (WSSV)	mg/kg	100.0	100.0	-	-	Antiviral
RID10153			Laurus nobilis essential oil	Mixture	34451721	In vitro	Oomycete				Aphanomyces astaci	µL/mL	0.015-0.098	0.015-0.098	-	-	Antipathogenic
