id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID00110	CID:27944	CAS:16595-80-5	Levamisole hydrochloride	Compound	37889686	In vivo		Sebastes schlegelii		Oral	Microcotyle sebastis	mg/L	100.0-200.0	100.0-200.0	-	27.3-41.6	Anthelmintic
RID00117	CID:3220	CAS:518-82-1	Emodin	Compound	29604998	In vitro	Non encysted tomonts				Ichthyophthirius multifiliis	mg/L	0.25-2.0	0.25-2.0	-	34.7-100.0	Antiparasitic
RID00117	CID:3220	CAS:518-82-1	Emodin	Compound	29604998	In vitro	Theronts				Ichthyophthirius multifiliis	mg/L	0.25-2.0	0.25-2.0	-	63.3-100.0	Antiparasitic
RID00117	CID:3220	CAS:518-82-1	Emodin	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	1000.0	1000.0	-	20.0	Antiparasitic
RID00013	CID:10290825	CAS:19902-08-0	(+)-βPinene	Compound	29080753	In vitro	Gills				Dactylogyrus minutus	g/L	90.0-180.0	90.0-180.0	15.6-44.0	100.0	Anthelmintic
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	27187362	In vitro	Sea louse				Caligus rogercresseyi	ppb	1.0-3.0	1.0-3.0	-	46.7-100.0	Antiparasitic
RID00147	CID:439246	CAS:480-41-1	Naringenin	Compound	39395598	In vivo		Artemia salina		Bath	Chilodonella uncinata	mg/L	10.0	10.0	-	68.0	Antiparasitic
RID00152	CID:440967	CAS:18172-67-3	(−)-βPinene	Compound	29080753	In vitro	Gills				Dactylogyrus minutus	g/L	4.0-180.0	4.0-180.0	0.0-49.6	100.0	Anthelmintic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	B1				Philasterides dicentrarchi	ppm	5.0-80.0	5.0-80.0	-	40.8-100.0	Antiparasitic
RID10008		CAS:8014-09-3	Cablin patchouli oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	10.0	10.0	-	100.0	Antiparasitic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	C1				Philasterides dicentrarchi	ppm	5.0-80.0	5.0-80.0	-	30.1-100.0	Antiparasitic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	D3				Philasterides dicentrarchi	ppm	15.0-80.0	15.0-80.0	-	18.8-100.0	Antiparasitic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	I1				Philasterides dicentrarchi	ppm	10.0-80.0	10.0-80.0	-	25.3-100.0	Antiparasitic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	P1				Philasterides dicentrarchi	ppm	10.0-80.0	10.0-80.0	-	18.9-100.0	Antiparasitic
RID00163	CID:445154	CAS:501-36-0	Resveratrol	Compound	21987103	In vitro	S1				Philasterides dicentrarchi	ppm	5.0-80.0	5.0-80.0	-	29.4-100.0	Antiparasitic
RID00018	CID:10658	CAS:523-50-2	Isopsoralen	Compound	26042195	In vitro	Protozoa				Ichthyophthirius multifiliis	mg/L	1.0-1.6	1.0-1.6	-	53.3-100.0	Antiprotozoal
RID00191	CID:5280442	CAS:480-44-4	Acacetin	Compound	39395598	In vivo		Artemia salina		Bath	Chilodonella uncinata	mg/L	10.0	10.0	-	18.0	Antiparasitic
