id	pubchemid	casrn	predicted_log_kow	experimental_log_kow	predicted_log_kaw	predicted_log_koa	experimental_log_koa	bioconcentration_factor	bioaccumulation_factor	volatilization_halflife_in_hours_lake_model	volatilization_halflife_in_hours_river_model
RID00049	CID:14969	CAS:1404-90-6	-0.8420001566410065		-75.54173417260904	74.69973401596803		3.16	0.9	3.4608425879560727e+75	3.1724390432572806e+74
RID00037	CID:135398513	CAS:59277-89-3	-1.6970000714063644	-1.56	-19.886125266346944	18.326125266346946		3.16	0.89	3.015014194858873e+19	2.7637630156979016e+18
RID00025	CID:11617	CAS:592-88-1	2.6107000410556793		-1.256634075178285	3.8673341162339643		24.52	34.2	106.55830196208991	1.5525855293507609
RID00188	CID:5273569	CAS:574-84-5	0.3772999048233032		-12.740112834575841	13.117412739399144		3.16	0.94	2071070288178.9165	189848109995.82086
RID00286	CID:68101	CAS:488-48-2	1.8200999796390533		-10.104236219909676	11.92433619954873		7.38	4.64	6833275997.558431	626383618.1351216
RID00229	CID:54675776	CAS:60-54-8	-1.328599989414215	-1.3	-21.72005328716971	20.420053287169708		3.16	0.89	2.8895667340599797e+21	2.6487695098098067e+20
RID00304	CID:71777	CAS:103055-07-8	6.609799953177571	5.12	-8.632876956447237	13.752876956447237		1109.62	3732.56	253528590.62483683	23240103.45899536
RID00043	CID:140616	CAS:19832-87-2	1.2864999771118164		-7.250287595788257	8.536787572900074		3.28	2.4	5814617.493357094	532996.9855234206
RID00063	CID:17161	CAS:2460-77-7	4.065899878740311		-6.173820096420788	10.2397199751611		223.71	244.58	578517.0087778078	53019.31590856852
RID00009	CID:10215	CAS:482-89-3	3.1139998733997345	3.72	-11.68880897986593	15.408808979865931		34.38	323.24	206563191632.7182	18934959246.20033
RID00132	CID:37123	CAS:35367-38-5	3.594299927353859	3.89	-6.725825464570576	10.615825464570577		171.25	126.14	2448440.3795060995	224426.8187586424
RID00097	CID:2537	CAS:76-22-2	3.04449999332428	2.38	-2.469771659096596	4.849771659096596		17.27	22.9	212.24554368896545	9.971112521553593
RID00111	CID:2912	CAS:52315-07-8	6.3751998245716095	6.6	-4.49122961077289	11.09122961077289		578.87	5626.58	16706.09088163843	1515.7071384382416
RID00129	CID:3610	CAS:136-77-6	4.035400062799454	3.45	-7.6600952984887485	11.110095298488748		87.76	18.98	16640921.769172356	1525407.116383452
RID00073	CID:19958	CAS:4044-65-9	4.666799932718277		-2.334587884653012	7.001387817371289		557.38	422.13	209.95446843594158	8.586801480725137
RID00054	CID:15976	CAS:4697-36-3	1.1926001608371735	1.13	-17.451084695313103	18.581084695313102		3.16	1.49	1.4352784211379477e+17	1.3156718878253934e+16
RID00146	CID:4284	CAS:134-62-3	2.2578999549150467	2.18	-6.071321545264042	8.251321545264043		12.75	13.3	425749.39964693034	39016.39689868142
RID00242	CID:5742673	CAS:63527-52-6	0.6354000290157273		-21.8980031727078	22.533403201723527		3.16	0.97	4.406637824699906e+21	4.039418011446916e+20
RID00277	CID:65575	CAS:77-53-2	4.325800150632858		-4.140095797226963	8.46589594785982		332.02	798.14	5518.233109182537	494.37487358950216
RID00287	CID:6817	CAS:85-66-5	1.6008999347686768		-5.591980506576278	7.192880441344955		5.29	4.28	148118.34383971232	13566.368882918307
RID00327	CID:875	CAS:87-69-4	-1.0016998052597046		-8.269404015992553	7.267704210732847		3.16	0.9	59491037.46220478	5453335.6904746555
RID00094	CID:24504	CAS:7778-54-3	-2.4638000428676605		-9.591734390577526e-05	-2.463704125523755		3.16	0.89	113.90169149298157	1.2489650544396202
RID00084	CID:23616879	CAS:475-00-3	3.4085003584623337		-17.680862988998356	21.08936334746069		45.74	29.66	2.994605644602755e+17	2.7450551779377828e+16
RID00284	CID:6775	CAS:84-58-2	3.885699838399887		-12.892298294266876	16.777998132666763		170.13	182.25	3070365954955.5635	281450212907.2781
RID00053	CID:15910	CAS:1897-45-6	3.6649999916553497	2.9	-4.99061237765934	7.89061237765934		38.06	76.59	41827.99204951085	3821.6972284651256
RID00139	CID:40326	CAS:52645-53-1	7.426699846982956	6.5	-4.92912917668218	11.42912917668218		497.28	1057.18	44066.50670652456	4024.2236875429576
RID00197	CID:5280863	CAS:520-18-3	1.9589999318122864		-14.586462589950205	16.54546252176249		2.37	2.13	170490621672269.53	15628307007782.605
RID00023	CID:11294	CAS:569-64-2	0.8009999824498664	0.62	-16.30270509821067	16.92270509821067		3.16	1.28	1.0015535116649862e+16	918090720269915.0
RID00168	CID:4471	CAS:50-65-7	4.5580999702215195		-10.848589490832326	15.406689461053846		472.54	112.17	33328682868.96427	3055129253.223566
RID00081	CID:2266	CAS:123-99-9	1.7012000977993011	1.57	-10.030096603302045	11.600096603302045		3.16	4.38	3839777942.6429486	351979634.6726921
RID00089	CID:24007	CAS:7446-08-4	-0.7709999978542328		-9.591734390577526e-05	-0.770904080510327		3.16	0.9	100.3386174784267	1.100242017468734
RID00100	CID:26879	CAS:14769-73-4	2.8666999732377008	1.84	-7.783478319704287	9.623478319704287		7.6	6.95	22671624.7209093	2078221.2814724408
RID00319	CID:8371	CAS:118-75-2	2.2161000072956085		-7.8745961892037535	10.090696196499362		13.46	15.96	30678249.547133774	2812160.8250928386
RID00283	CID:6755	CAS:83-72-7	0.7752998769283295	1.38	-7.001689508689342	8.381689508689343		0.98	3.08	3459761.092978263	317134.62268164253
RID00191	CID:5280442	CAS:480-44-4	3.4055998623371124		-11.924358893356837	15.32995875569395		21.33	44.42	369909091439.0544	33908333414.886524
RID00326	CID:8718	CAS:137-18-8	1.3414999544620514	1.28	-6.912119946439743	8.192119946439743		3.25	2.31	2488974.167141787	228146.99598345943
RID00282	CID:67215	CAS:129-73-7	5.7217997610569	5.72	-6.39776969452824	12.11776969452824		2760.93	469.65	1186511.4464462362	108749.57500162572
RID00047	CID:14778	CAS:1305-78-8	-0.5710000097751617		-9.591734390577526e-05	-0.570904092431256		3.16	0.9	71.33168066450776	0.7821725494735619
RID00315	CID:784	CAS:7722-84-1	-1.570999950170517		-6.540979727189265	4.969979777018748		3.16	0.89	529338.6004774031	48518.22175966404
RID00046	CID:14463159	CAS:13137-64-9	-0.8752999305725098		-22.925221021599814	22.049921091027304		3.16	0.9	5.803065998384347e+22	5.319477172391685e+21
RID00121	CID:336327	CAS:32383-76-9	3.2966999411582947		-10.085394463323238	13.382094404481533		69.53	30.11	5226091366.54701	479058363.27781236
RID00301	CID:71188	CAS:93106-60-6	0.7014999687671661		-16.216961447072517	16.918461415839683		3.16	0.99	8158734882784139.0	747884031934986.6
RID00291	CID:68262	CAS:530-55-2	0.22829988598823547	-0.06	-7.666377602688598	7.606377602688598		3.16	0.93	15707270.602069337	1439823.1723372713
RID00138	CID:4030	CAS:31431-39-7	2.706900015473366	2.83	-13.659687606177425	16.489687606177423		8.89	8.95	20496963930997.992	1878888362873.511
RID00205	CID:5281613	CAS:520-27-4	-0.4834003150463104	0.14	-30.49556979181871	30.635569791818707		3.16	0.92	2.016468924679324e+30	1.848429850126691e+29
RID00295	CID:69213	CAS:615-94-1	-1.1177000403404236		-4.117033542796743	2.9993335024563197		3.16	0.89	4159.295343410234	372.1700514489801
RID00007	CID:10205	CAS:481-42-5	2.504899889230728		-7.781973903830045	10.286873793060774		5.43	20.13	21683938.62309731	1987683.831250287
RID00280	CID:6616	CAS:79-92-5	4.347199976444244	4.22	0.6019062112809209	3.618093788719079		282.72	1230.17	110.95267739189956	1.1981765188539621
RID00072	CID:1990	CAS:546-88-3	-1.28619996458292	-1.59	-9.038167565214051	7.448167565214051		3.16	0.89	247039529.9067174	22645283.611837864
RID00031	CID:12560	CAS:114-07-8	2.4782999753952026	3.06	-26.654648387724087	29.714648387724086		48.53	9.29	3.194113144603705e+26	2.9279370531863956e+25
RID00105	CID:2730	CAS:2921-88-2	5.108200069516897	4.96	-3.9865845067898342	8.946584506789835		870.18	2122.48	4918.734498717316	436.4904568208122
RID00064	CID:176	CAS:64-19-7	0.08680000901222229	-0.17	-5.233216348866316	5.063216348866316	4.31	3.16	0.95	34695.8697485086	3174.4976536248714
RID00003	CID:10114	CAS:471-53-4	6.897900074720383		-11.094858731547603	17.992758806267986		56.23	2553541.6	70485374534.37993	6461159324.393139
RID00264	CID:638011	CAS:5392-40-5	3.445299953222275		-2.750095926542338	6.195395879764613		87.14	226.05	298.43498458051965	17.871811280648753
RID00020	CID:11122	CAS:553-97-9	0.7941999733448029	0.72	-7.1072164109477916	7.827216410947791		3.16	1.22	3694027.454319547	338610.6887277181
RID00288	CID:68238	CAS:527-17-3	2.4360999166965485	2.23	-6.521928375076602	8.751928375076602		13.75	14.83	1113113.5976422338	102025.56276474429
RID00116	CID:3120	CAS:330-54-1	2.6726000010967255	2.68	-7.686164265995404	10.366164265995405		27.24	10.99	19355698.501395255	1774260.6286132347
RID00276	CID:6549	CAS:78-70-6	3.381300002336502	2.97	-3.0561139264157724	6.026113926415773		42.33	74.34	487.0434989014034	35.098333214187456
RID00285	CID:68071	CAS:480-39-7	3.0929999351501465		-10.939001645588919	14.032001580739065		13.26	6.16	36325536931.94048	3329840877.632998
RID00294	CID:6909	CAS:87-90-1	0.9445004263252486		-8.596696445706531	9.54119687203178		3.16	1.05	157289145.05988038	14418159.930869536
RID00261	CID:637511	CAS:104-55-2	1.817999929189682	1.9	-3.8395884342223696	5.7395884342223695		8.33	8.23	2184.180482772144	191.3792639746567
RID00125	CID:3467	CAS:1403-66-3	-1.8786001205444336		-28.398169094915215	26.51956897437078		3.16	0.89	1.3363092416481319e+28	1.2249501398368342e+27
RID00244	CID:5853	CAS:52-68-6	0.42300013825297356	0.51	-9.354608570676463	9.864608570676463		3.16	1.17	948023172.2708058	86902111.90852846
RID00117	CID:3220	CAS:518-82-1	4.005099952220917		-12.591760243439593	16.59686019566051		53.02	12.49	1676903766610.5537	153716178801.5623
RID00176	CID:4891	CAS:55268-74-1	2.4239000380039215		-8.794140428025013	11.218040466028935		18.46	8.36	287326721.6615051	26338269.26746253
RID00160	CID:443162	CAS:10482-56-1	3.331799954175949	3.28	-3.8900957900270865	7.170095790027086		67.79	126.72	2636.138417620397	232.09870103029525
RID00224	CID:5361	CAS:145-63-1	0.2206999957561493		-66.67065621284902	66.89135620860517		3.16	0.92	4.4060514119940596e+66	4.0388804664658287e+65
RID00051	CID:152946	CAS:151096-09-2	0.9518999755382538	0.95	-17.895791997304542	18.84579199730454		3.16	1.65	4.1159794135526445e+17	3.772981134200995e+16
RID00173	CID:4629	CAS:14698-29-4	1.7042999565601349	0.94	-13.773330285768475	14.713330285768475		3.16	1.36	25044793684677.035	2295772757526.2744
RID00078	CID:222284	CAS:83-46-5	9.647300153970718		-1.9192362424069078	11.566536396377627		671.16	287288.79	237.60448589604187	6.125866084983254
RID00234	CID:5479529	CAS:55268-75-2	0.28880003292579204	-0.16	-18.94558388546317	18.785583885463172		3.16	0.91	4.746134220839295e+18	4.3506230416629306e+17
RID00249	CID:6024	CAS:153-61-7	0.15990009903907776	-0.41	-15.147350869700011	14.73735086970001		3.16	0.9	729987077994426.4	66915482240120.914
RID00038	CID:135398635	CAS:118-00-3	-1.7080000191926956	-1.9	-23.77010018943751	21.87010018943751		3.16	0.89	2.5885315414794037e+23	2.3728205829037967e+22
RID00240	CID:5578	CAS:738-70-5	0.7289000451564789	0.91	-12.011046946754009	12.921046946754007		3.16	1.2	456414295805.6834	41837977159.0988
RID00297	CID:6989	CAS:89-83-8	3.516099900007248	3.3	-3.8426972378579713	7.142697237857972		69.88	58.37	2344.5204673169496	205.49265516633452
RID00215	CID:5284507	CAS:7212-44-4	5.6780000030994415		-2.1307876920484747	7.808787695147916		2590.27	6116.07	194.2803950517036	6.345874133066614
RID00256	CID:6249	CAS:69-53-4	1.453800082206726	1.35	-15.010170525049753	16.360170525049753		3.16	1.83	499702020043540.8	45806018566028.02
RID00218	CID:5318638	CAS:56701-24-7	3.7546999156475067		-11.090095118177036	14.844795033824543		139.43	37.9	53026287129.672966	4860742980.7863035
RID00039	CID:135398735	CAS:13292-46-1	4.2444000710966066		-39.95466796754983	44.19906803864644		76.27	12.57	6.748817164653931e+39	6.1864157426465364e+38
RID00150	CID:439533	CAS:480-18-2	0.5942999720573425	0.95	-19.71139770664391	20.66139770664391		3.16	1.05	2.3436332787920364e+19	2.1483305084696049e+18
RID00118	CID:323	CAS:91-64-5	1.5127999186515808	1.39	-3.5466347527768667	4.936634752776866		3.84	2.99	1226.3110293162129	103.11879000013971
RID00092	CID:24462	CAS:7758-98-7	-0.17100000381469727		-2.5200959010150803	2.349095897200383		3.16	0.91	229.2819126355057	11.305735802338567
RID00140	CID:4055	CAS:58-27-5	2.2080998718738556	2.2	-6.899234356814388	9.099234356814387		3.42	16.32	2717198.0119216023	249066.39778134116
RID00296	CID:69671	CAS:695-99-8	0.7391999959945679	0.84	-7.445383147704908	8.285383147704907		3.16	1.36	8694253.133356415	796964.0271891108
RID00310	CID:7628	CAS:10043-35-3	-0.22100001573562622	0.18	-9.972925743249153	10.152925743249153		3.16	0.97	1929351072.8456364	176857175.87232688
RID00184	CID:5215	CAS:68-35-9	-0.33769993484020233	-0.09	-8.189248631047153	8.099248631047153		3.16	0.96	63875823.94678884	5855271.70838983
RID00110	CID:27944	CAS:16595-80-5	2.8666999732377008		-7.783478319704287	10.650178292941987		36.18	52.2	22671624.7209093	2078221.2814724408
RID10006		CAS:8007-11-2	3.516099900007248		-4.18009573303028	7.696195633037528		97.03	74.63	4961.851303617754	445.4146488189187
RID00057	CID:16590	CAS:2179-57-9	3.5649000704288483		-1.0680521242673924	4.632952194696241		4.77	162.91	118.58419649171452	1.5729385174275303
RID00093	CID:2450	CAS:52-51-7	-0.6407999396324158		-9.330277986894133	8.689478047261717		3.16	0.9	790050441.4047587	72421279.68917064
RID00104	CID:2726	CAS:50-53-3	5.204899907112122	5.41	-7.82192667195709	13.23192667195709		1723.92	100.19	30946258.2553936	2836726.6169930324
RID00155	CID:441306	CAS:56391-56-1	-2.4964999556541443		-32.5143819694856	30.017882013831453		3.16	0.89	1.861525737605466e+32	1.7063985951165853e+31
RID00271	CID:64945	CAS:77-52-1	7.918700128793716		-7.40350780615969	15.322207934953406		56.23	9122065.29	14132056.079812843	1295422.0477051702
RID00153	CID:441140	CAS:17090-79-8	5.43249948322773		-22.083204826600884	27.515704309828614		10.0	1550.53	8.192187075623172e+21	7.509504829494e+20
RID00322	CID:84029	CAS:81103-11-9	3.177599787712097	3.16	-27.14932307396869	30.30932307396869		56.49	15.32	1.0072467539001231e+27	9.233095256592085e+25
RID00199	CID:5281224	CAS:472-61-7	13.266199171543121		-2.3576589395892418	15.623858111132364		11.31	223.05	377.43918187688735	15.818473927734235
RID00056	CID:16129778	CAS:1401-55-4	-0.1912999153137207		-29.229380822300843	29.038080906987123		3.16	0.91	1.1172357249021782e+29	1.024132749214339e+28
RID00021	CID:1123	CAS:107-35-7	-3.361600011587143		-10.153096762397919	6.791496750810775		3.16	0.89	4156080467.7379217	380974034.7924003
RID00018	CID:10658	CAS:523-50-2	2.058499976992607	2.08	-4.558006345537702	6.638006345537702		10.95	8.06	13007.043276700138	1181.8237108071974
RID00253	CID:6196	CAS:66-79-5	2.5736000537872314	2.38	-14.982559756526872	17.36255975652687		3.16	9.39	502625074694565.75	46073965242733.94
RID00130	CID:3641960	CAS:127-65-1	-0.4998000281120767		-3.4531651105594454	2.9533650824473687		3.16	0.91	1261.9118560825023	104.0768436078495
RID00144	CID:42586	CAS:57837-19-1	1.701399713754654	1.65	-7.482846802759079	9.13284680275908		5.7	1.92	13267452.744032685	1216170.3220200473
RID10008		CAS:8014-09-3	3.9837001264095306		-4.140095797226963	8.123795923636493		197.44	498.49	5518.233109182537	494.37487358950216
RID00260	CID:6328657	CAS:80370-57-6	1.5746001770021394		-23.0510335770165	24.62563375401864		3.16	1.57	6.720392660018844e+22	6.160359946695745e+21
RID10009		CAS:8014-19-5	3.4699999392032623		-3.340096062373955	6.810096001577217		90.47	192.47	827.693851102833	66.32461554161924
RID00245	CID:5959	CAS:56-75-7	0.916000097990036	1.14	-16.02923067415696	17.16923067415696		1.46	1.18	5021046221348026.0	460262570913716.8
RID00076	CID:2130	CAS:768-94-5	2.4283999502658844	2.44	-3.4686117684670066	5.908611768467006		18.92	28.67	1061.6122280925076	87.8604522584292
RID00122	CID:3365	CAS:86386-73-4	0.25380024313926697	0.5	-11.378977369827563	11.878977369827563		3.16	1.23	109371866790.07195	10025754455.88489
RID00170	CID:4539	CAS:70458-96-7	-0.3059999644756317	-1.03	-16.44894847821281	15.41894847821281		3.16	0.9	1.312032001538886e+16	1202696003039865.2
RID00339	CID:971	CAS:144-62-7	-1.736499935388565	-2.22	-8.233216348866316	6.013216348866316		3.16	0.89	42393376.16441961	3886052.1928478554
RID00317	CID:807	CAS:7553-56-2	1.8581999838352203	2.49	-2.015947590305948	4.505947590305948		20.41	9.81	194.49795537124442	5.58217369753051
RID00171	CID:4583	CAS:82419-36-1	-0.19979995489120483	-0.39	-17.6910596697845	17.3010596697845		3.16	0.9	2.437304247629309e+17	2.234195563353421e+16
RID00202	CID:5281426	CAS:93-35-6	1.032599925994873		-7.529374681520698	8.561974607515571		2.23	1.31	11251304.347646262	1031359.7780614523
RID00080	CID:2256	CAS:1912-24-9	2.8174998462200165	2.61	-6.993095648920322	9.603095648920322		7.45	18.89	3774811.640318415	346013.1112500308
RID00298	CID:70055	CAS:844-51-9	3.774899870157242		-10.000199859376131	13.775099729533371		143.77	90.35	4215038201.377921	386378489.91426533
RID00335	CID:9547215	CAS:465-21-4	3.416100025177002		-6.786900123407282	10.203000148584284		83.36	74.07	3143330.0554284435	288123.475539354
RID10004		CAS:8000-48-4	3.133199989795685		-2.2700959082036976	5.403295897999382		54.24	118.16	178.3863422562306	6.804760483385373
RID10005		CAS:8006-84-6	3.38839989900589		-1.040095877344058	4.428495776349948		79.92	206.45	119.13054294220169	1.562010413306581
RID00185	CID:5216	CAS:122-34-9	2.399899870157242	2.18	-6.861003466306144	9.041003466306144		3.88	11.36	2692817.200825312	246830.66076577955
RID00152	CID:440967	CAS:18172-67-3	4.347199976444244		0.8190041090195952	3.528195867424649		342.99	1258.1	110.92268941725568	1.1954276211745498
RID00333	CID:92965	CAS:511-15-9	7.278599888086319		-4.620095802749505	11.898695690835824		9715.97	5560.35	18589.57845750206	1691.0341473775331
RID00318	CID:8215	CAS:112-85-6	9.908800512552261		-6.37652567287777	16.28532618543003		3.16	20236.24	1147042.576666192	105131.38295885074
RID00306	CID:72	CAS:99-50-3	0.9139999523758888	0.86	-13.550096108701625	14.410096108701627		3.16	1.03	11505389014202.703	1054660661054.4016
RID00099	CID:261501	CAS:886-86-2	1.7975999116897583		-6.39009627953384	8.187696191223598		7.13	3.64	824189.2218021445	75540.79868531344
RID00120	CID:33255	CAS:25953-19-9	-2.1923997960984707	-0.58	-21.084877553465063	20.504877553465064		3.16	0.9	6.769005283275448e+20	6.204921518074664e+19
RID00257	CID:6253	CAS:147-94-4	-2.456699980306439		-17.193638387749015	14.736938407442576		3.16	0.89	6.360781143496809e+16	5830716056103980.0
RID00075	CID:208908	CAS:231277-92-2	5.286299899220467		-19.695761288332342	24.98206118755281		1428.57	2830.58	3.1242570884133605e+19	2.863902334925168e+18
RID00251	CID:612	CAS:50-21-5	-0.648999959230423	-0.72	-6.404586893467714	5.684586893467714		3.16	0.9	629265.2708901776	57675.35400946344
RID10001		CAS:68647-73-4	3.133199989795685		-2.2700959082036976	5.403295897999382		54.24	118.16	178.3863422562306	6.804760483385373
RID00096	CID:25245	CAS:5003-48-5	1.7483998239040375	2.15	-11.140979365136683	13.290979365136682		12.18	2.92	63949681293.02014	5862054112.861169
RID00235	CID:5479530	CAS:73384-59-5	-1.370999903883785		-28.46323257198203	27.092232668098244		3.16	0.89	1.7868632290651828e+28	1.6379579621952787e+27
RID00103	CID:27200	CAS:15318-45-3	-0.33189988136291504		-17.26074081873322	16.928840937370303		3.16	0.9	8.984156205502582e+16	8235476532866882.0
RID00157	CID:4421	CAS:389-08-2	1.6432999819517136	1.59	-13.67894130638907	15.26894130638907		3.16	1.72	19001196474664.91	1741776345858.7349
RID00174	CID:4650	CAS:106-51-4	0.24689999222755432	0.2	-7.302311970466781	7.502311970466781		3.16	0.97	5446252.077135055	499231.7821070086
RID00258	CID:6321424	CAS:70288-86-7	4.1147995591163635		-25.318502974336425	29.43330253345279		240.96	1264.28	1.5955000049968698e+25	1.462541673228364e+24
RID00137	CID:4004	CAS:121-75-5	2.2877998761832714	2.36	-6.6992435272077575	9.059243527207757		16.75	24.39	2374894.5722982227	217684.6972645131
RID00029	CID:12035	CAS:616-91-1	-0.6612999273274909		-11.153890216294691	10.4925902889672		3.16	0.9	47546689497.346275	4358446533.340627
RID10007		CAS:8007-70-3	3.38839989900589		-1.040095877344058	4.428495776349948		79.92	206.45	119.13054294220169	1.562010413306581
RID00123	CID:3374	CAS:42835-25-6	2.695299953222275	1.6	-10.961351001096318	12.561351001096318		3.16	3.8	38614761944.37927	3539686503.9381347
RID00086	CID:23665760	CAS:7681-52-9	-3.417400062084198		-3.230095942113213	-0.18730411997098484		3.16	0.89	464.67995173151024	35.963140247976874
RID00281	CID:6654	CAS:80-56-8	4.268599987030029	4.83	0.7385524120334298	4.09144758796657		714.22	3072.24	110.93209990120539	1.1962902488711098
RID00133	CID:37542	CAS:36791-04-5	-2.0272999554872513	-1.85	-19.390371876605876	17.540371876605874		3.16	0.89	1.0025920987906114e+19	9.190427584697092e+17
RID00290	CID:68241	CAS:527-61-7	1.3414999544620514	1.22	-6.912119946439743	8.132119946439744		2.96	2.12	2488974.167141787	228146.99598345943
RID00323	CID:8468	CAS:121-34-6	1.2190999165177345	1.43	-9.730095468990076	11.160095468990075		3.16	2.41	1818926773.7394578	166734944.51718175
RID00324	CID:8530	CAS:130-15-4	1.660799890756607	1.71	-7.0943294280505045	8.804329428050504		1.62	5.86	4080910.673999237	374073.8115676843
RID00172	CID:4622	CAS:20559-55-1	2.615900084376335		-11.198460185210433	13.814360269586768		24.72	10.32	65112902296.66214	5968682706.47613
RID00033	CID:12867	CAS:719-22-2	4.065899878740311	4.42	-6.173820096420788	10.593820096420789		383.1	342.78	578517.0087778078	53019.31590856852
RID00223	CID:5336	CAS:144-83-2	0.5265999734401703	0.35	-11.356125422455106	11.706125422455106		3.16	1.02	93616705779.87697	8581531362.6430645
RID00221	CID:5323714	CAS:67-45-8	1.0174000879051164	-0.04	-8.875715815686036	8.835715815686035		3.16	0.91	294330599.743481	26980293.478139903
RID00077	CID:21704	CAS:5536-17-4	-1.3793999552726746	-1.11	-20.342159797421328	19.232159797421325		3.16	0.89	9.386140337362207e+19	8.603961987570722e+18
RID00263	CID:637760	CAS:94-41-7	3.6574998795986176	3.08	-5.023733685279473	8.103733685279474		13.0	63.77	39939.30501018473	3650.0094832616355
RID00293	CID:69068	CAS:605-94-7	0.3755998909473419	0.8	-7.47128159614745	8.27128159614745		3.16	1.32	10432894.767164085	956338.3127113607
RID00052	CID:1563	CAS:2507-55-3	4.753100126981735		-3.980321488431782	8.733421615413517		3.16	367.2	4049.9054498282385	359.2243885706038
RID00308	CID:72300	CAS:528-43-8	5.582799941301346		-9.415121608726812	14.997921550028158		2241.46	308.03	1108436696.1691146	101606684.74110717
RID00193	CID:5280536	CAS:458-36-6	1.1626999080181122		-8.860095568169495	10.022795476187607		2.72	2.02	252584355.10936865	23153555.655030843
RID00015	CID:10364	CAS:499-75-2	3.516099900007248	3.49	-4.18009573303028	7.67009573303028		93.26	72.54	4961.851303617754	445.4146488189187
RID00113	CID:3039	CAS:62-73-7	0.6029000729322433	1.43	-4.455295155809248	5.8852951558092474		0.61	3.13	11216.182271114496	1016.7227935831426
RID00196	CID:5280805	CAS:153-18-4	-2.0177999287843704		-36.88708930811429	34.86928937932992		3.16	0.89	4.975237996654705e+36	4.5606348364448814e+35
RID00108	CID:276389	CAS:26833-85-2	2.050299897789955		-14.979430750706882	17.029730648496837		10.47	2.67	574244201033161.9	52639051832663.0
RID00035	CID:13359	CAS:3411-58-3	-0.2455000413392554		-6.03623729821153	5.790737256872275		3.16	0.9	346865.0220808312	31786.570258764146
RID00165	CID:446598	CAS:18323-44-9	2.007200300693512	2.16	-19.928097333999798	22.088097333999798		12.36	2.92	4.562040300644419e+19	4.181870281255693e+18
RID00069	CID:19649	CAS:57-92-1	-7.5302999874111265		-41.46387048988093	33.933570502469806		3.16	0.89	1.832518803207483e+41	1.6798089052157472e+40
RID00328	CID:892	CAS:87-89-8	-2.081399977207184		-27.42009407862785	25.338694101420668		3.16	0.89	9.221333276583261e+26	8.452888848318701e+25
RID00162	CID:444539	CAS:140-10-3	2.0706999599933624	2.13	-6.5218940016230444	8.651894001623043		3.16	13.52	1057257.0088889347	96905.86901742821
RID00022	CID:11230	CAS:562-74-3	3.331799954175949	3.26	-3.8900957900270865	7.150095790027086		65.76	100.29	2636.138417620397	232.09870103029525
