id	pubchemid	casrn	predicted_log_kow	experimental_log_kow	predicted_log_kaw	predicted_log_koa	experimental_log_koa	bioconcentration_factor	bioaccumulation_factor	volatilization_halflife_in_hours_lake_model	volatilization_halflife_in_hours_river_model
RID00230	CID:54675779	CAS:79-57-2	-2.866900086402893	-0.9	-23.15697343523684	22.25697343523684		3.16	0.9	8.043269625808533e+22	7.372997166978994e+21
RID00262	CID:637566	CAS:106-24-1	3.4699999392032623	3.56	-2.6039509214256342	6.163950921425634		103.73	223.58	248.27804422051193	13.211499838790058
RID00012	CID:10286	CAS:491-38-3	1.7440999150276184	1.38	-4.481936537464587	5.861936537464587		0.98	3.27	9691.204695954737	879.0673771598106
RID00071	CID:197810	CAS:476-32-4	2.911500036716461		-15.820927239788578	18.73242727650504		38.73	4.28	3250250047598049.0	297939588100077.56
RID00231	CID:54675783	CAS:10118-90-8	-0.4172000288963318	0.05	-22.204828818457262	22.254828818457263		3.16	0.91	8.951353163726836e+21	8.205407077865062e+20
RID00050	CID:14982	CAS:1405-86-3	3.1935999989509583	2.8	-33.29914529204119	36.09914529204119		3.16	63.66	1.4917733087827783e+33	1.3674588682366432e+32
RID00238	CID:55283	CAS:84625-61-6	6.164000379038043	5.66	-20.2875485937994	25.9475485937994		2520.39	77.3	1.3449732557055394e+20	1.2328921527335496e+19
RID00011	CID:10281	CAS:490-91-5	2.250199943780899	2.2	-6.666019986333558	8.866019986333558		13.14	12.09	1551021.0398935669	142167.07835882757
RID10003		CAS:8000-34-8	2.7307999432086945		-5.706791940302302	8.437591883510997		29.43	26.05	170476.99024359992	15617.20696948302
RID00164	CID:445858	CAS:1135-24-6	1.4153999388217926	1.51	-11.080095829875011	12.590095829875013		3.16	3.61	43760079024.52796	4011340571.9702163
RID00300	CID:70291	CAS:935-92-2	1.8887999355793	1.82	-6.717023941895365	8.537023941895365		7.38	6.24	1668122.549758493	152901.81356523957
RID00222	CID:5329	CAS:723-46-6	0.48399990797042847	0.89	-10.407949056570464	11.297949056570463		3.16	1.47	10632217867.352297	974619960.2602143
RID00329	CID:91466	CAS:519-02-8	1.71320042014122		-9.276604261449958	10.989804681591178		6.27	4.49	778079825.9093927	71323972.02357458
RID00181	CID:516875	CAS:7722-64-7	-1.7276000678539276		-9.591734390577526e-05	-1.727504150510022		3.16	0.89	119.74672225678457	1.3130575105781161
RID00316	CID:798	CAS:120-72-9	2.0548000037670135	2.14	-4.6656511346092016	6.805651134609202		11.99	14.48	13191.441327102308	1200.8951922677531
RID00248	CID:60202781	CAS:8003-34-7	6.152899831533432		-4.572419716459358	10.72531954799279		293.48	728.19	17853.97254796453	1622.6825409440985
RID00098	CID:25517	CAS:12125-02-9	-4.370899902489327		-19.72850097883936	15.357601076350031		3.16	0.89	1.0221581356059105e+19	9.369782922413631e+17
