id	pubchemid	casrn	mol.wt	logp	topological_polar_surface_area_	number_of_hydrogen_bond_donors	number_of_hydrogen_bond_acceptors	number_of_carbon_atoms	number_of_heavy_atom	number_of_heteroatoms	number_of_rotatable_bonds	number_of_aliphatic_rings	number_of_aromatic_rings
RID00320	CID:8378	CAS:1404-04-2	614.6500000000001	-8.895300000000013	353.10999999999996	13	19	23	42	19	9	4	0
RID00321	CID:83969	CAS:54029-12-8	281.337	2.2588	84.08000000000001	2	4	12	19	7	5	0	2
RID00322	CID:84029	CAS:81103-11-9	747.9639999999999	2.439700000000009	182.91000000000003	4	14	38	52	14	8	3	0
RID00323	CID:8468	CAS:121-34-6	168.14799999999997	1.099	66.75999999999999	2	3	8	12	4	2	0	1
RID00324	CID:8530	CAS:130-15-4	158.15599999999998	1.6218000000000001	34.14	0	2	10	12	2	0	1	1
RID00325	CID:86325777	CAS:775351-88-7	270.28499999999997	1.2268999999999999	88.43	1	5	12	19	7	3	2	0
RID00326	CID:8718	CAS:137-18-8	136.14999999999998	1.0308	34.14	0	2	8	10	2	0	1	0
RID00327	CID:875	CAS:87-69-4	150.08599999999998	-2.1225999999999994	115.06	4	4	4	10	6	3	0	0
RID00328	CID:892	CAS:87-89-8	180.156	-3.8345999999999973	121.38000000000001	6	6	6	12	6	0	1	0
RID00329	CID:91466	CAS:519-02-8	248.3699999999999	1.8716999999999993	23.550000000000004	0	2	15	18	3	0	4	0
RID00033	CID:12867	CAS:719-22-2	220.31199999999998	3.0832000000000015	34.14	0	2	14	16	2	2	1	0
RID00330	CID:91590	CAS:28159-98-0	253.37499999999994	2.3781999999999996	62.730000000000004	2	6	11	17	6	5	1	1
RID00331	CID:91688	CAS:64359-81-5	282.236	4.577100000000002	22.0	0	3	11	16	5	7	0	1
RID00332	CID:91734	CAS:83121-18-0	381.1120000000002	4.511700000000001	58.2	2	2	14	24	10	2	0	2
RID00333	CID:92965	CAS:511-15-9	281.82700000000006	3.7215200000000026	20.310000000000002	0	2	16	19	3	4	1	1
RID00334	CID:9415	CAS:315-22-0	325.3610000000001	-0.3925999999999994	96.3	2	7	16	23	7	0	3	0
RID00335	CID:9547215	CAS:465-21-4	386.5320000000001	4.241900000000004	70.67	2	4	24	28	4	1	4	1
RID00336	CID:9552081	CAS:18472-51-0	897.7679999999993	-3.6495999999999924	454.4799999999999	18	14	34	60	26	23	0	2
RID00337	CID:9688	CAS:363-03-1	184.194	1.778	34.14	0	2	12	14	2	1	1	1
RID00338	CID:969516	CAS:458-37-7	368.3850000000001	3.369900000000002	93.06	2	6	21	27	6	8	0	2
RID00339	CID:971	CAS:144-62-7	90.03399999999999	-0.8444	74.6	2	2	2	6	4	1	0	0
RID00034	CID:129532628	CAS:9072-19-9	256.27599999999995	-0.6424999999999992	102.28999999999999	2	6	8	16	8	3	1	0
RID00035	CID:13359	CAS:3411-58-3	149.215	-0.19340000000000002	52.32	2	4	5	9	4	4	0	0
RID00036	CID:13450	CAS:886-50-0	241.36399999999998	2.2356999999999996	62.730000000000004	2	6	10	16	6	5	0	1
RID00037	CID:135398513	CAS:59277-89-3	225.20799999999997	-1.3318000000000008	119.05	3	7	8	16	8	4	0	2
RID00038	CID:135398635	CAS:118-00-3	283.2440000000001	-2.6866999999999974	159.51000000000002	5	9	10	20	10	2	1	2
RID00039	CID:135398735	CAS:13292-46-1	822.9529999999994	4.335420000000004	220.14999999999998	6	15	43	59	16	4	4	2
RID00004	CID:10114809	CAS:54141-72-9	450.3960000000003	0.03810000000000091	186.37	7	11	21	32	11	3	2	2
RID00040	CID:135398740	CAS:82410-32-0	255.23399999999995	-1.9708999999999988	139.28	4	8	9	18	9	5	0	2
RID00041	CID:135430323	CAS:20004-62-0	376.36400000000015	2.40592	115.06	4	6	22	28	6	0	1	4
RID00042	CID:135449328	CAS:58306-30-2	446.4850000000003	3.122200000000002	127.35000000000001	3	8	20	31	11	10	0	2
RID00043	CID:140616	CAS:19832-87-2	156.56799999999998	1.2072	34.14	0	2	7	10	3	0	1	0
RID00044	CID:14162695	CAS:119262-68-9	476.3900000000003	-0.06380000000000008	196.35	6	12	22	34	12	5	1	3
RID00045	CID:14236566	CAS:19879-32-4	324.3760000000001	4.313000000000003	66.76	2	4	20	24	4	3	1	2
RID00046	CID:14463159	CAS:13137-64-9	696.8310000000005	1.0785000000000067	193.82999999999998	6	13	36	49	13	7	7	0
RID00047	CID:14778	CAS:1305-78-8	56.077000000000005	-0.49960000000000004	17.07	0	1	0	2	2	0	0	0
RID00048	CID:149096	CAS:100986-85-4	361.3730000000001	1.5439999999999998	75.01	1	6	18	26	8	2	2	2
RID00049	CID:14969	CAS:1404-90-6	1449.2709999999988	0.10620000000000074	530.4899999999998	19	25	66	101	35	7	7	5
RID00005	CID:101405	CAS:3117-03-1	168.148	0.19879999999999998	52.6	0	4	8	12	4	2	1	0
RID00050	CID:14982	CAS:1405-86-3	822.942	2.245600000000006	267.03999999999996	8	13	42	58	16	7	7	0
RID00051	CID:152946	CAS:151096-09-2	401.4380000000002	2.3705	83.80000000000001	2	6	21	29	8	4	3	2
RID00052	CID:1563	CAS:2507-55-3	244.37499999999994	3.7429000000000032	57.53	2	2	14	17	3	12	0	0
RID00053	CID:15910	CAS:1897-45-6	265.914	4.04356	47.58	0	2	8	14	6	0	0	1
RID00054	CID:15976	CAS:4697-36-3	273.46099999999996	1.8079999999999992	44.56999999999999	1	2	16	19	3	11	0	0
RID00055	CID:159762		314.01800000000003	-16.82580000000002	247.75999999999993	6	12	2	18	16	0	0	0
RID00056	CID:16129778	CAS:1401-55-4	1701.2059999999994	4.838100000000003	777.9800000000002	25	46	76	122	46	31	1	10
RID00057	CID:16590	CAS:2179-57-9	146.27999999999997	2.7398000000000016	0.0	0	2	6	8	2	5	0	0
RID00058	CID:16747	CAS:4638-92-0	168.23599999999996	2.3094	37.3	1	1	10	12	2	2	1	0
RID00059	CID:167927	CAS:20736-08-7	927.1349999999999	0.6287000000000149	266.90999999999997	10	17	48	65	17	8	9	0
RID00006	CID:10163	CAS:478-08-0	270.23999999999995	1.3654999999999997	94.83	3	5	15	20	5	1	1	2
RID00060	CID:167928	CAS:20736-09-8	780.9930000000002	1.7769000000000086	207.98999999999998	8	13	42	55	13	6	8	0
RID00061	CID:168114	CAS:23513-15-7	322.445	4.014000000000003	66.76	2	4	19	23	4	12	0	1
RID00062	CID:170990814		470.6940000000003	6.275400000000007	63.6	1	4	30	34	4	7	4	0
RID00063	CID:17161	CAS:2460-77-7	220.31199999999998	3.0832000000000015	34.14	0	2	14	16	2	2	1	0
RID00064	CID:176	CAS:64-19-7	60.05199999999999	0.09089999999999993	37.3	1	1	2	4	2	0	0	0
RID00065	CID:18347	CAS:3095-40-7	346.4710000000001	3.731040000000003	67.43	2	4	20	25	5	8	1	1
RID00066	CID:185617	CAS:27740-01-8	462.3630000000003	-0.15219999999999945	207.35	7	11	21	33	12	4	1	3
RID00067	CID:19211	CAS:3602-55-9	164.20399999999998	1.6668999999999998	34.14	0	2	10	12	2	1	1	0
RID00068	CID:193962	CAS:269055-15-4	435.28500000000025	4.717400000000002	120.63999999999999	2	7	20	28	8	4	0	3
RID00069	CID:19649	CAS:57-92-1	581.58	-8.16110000000001	336.42999999999995	12	15	21	40	19	9	3	0
RID00007	CID:10205	CAS:481-42-5	188.18200000000002	1.7175	54.37	1	3	11	14	3	0	1	1
RID00070	CID:197162	CAS:1405-10-3	712.7290000000002	-9.548100000000014	427.70999999999987	15	21	23	47	24	9	4	0
RID00071	CID:197810	CAS:476-32-4	353.37400000000014	2.3313000000000006	60.39000000000001	1	6	20	26	6	0	4	2
RID00072	CID:1990	CAS:546-88-3	75.067	-0.48829999999999996	49.33	2	2	2	5	3	0	0	0
RID00073	CID:19958	CAS:4044-65-9	192.26800000000003	3.1552000000000016	24.72	0	4	8	12	4	2	0	1
RID00074	CID:2082	CAS:54965-21-8	265.33799999999997	3.2433000000000014	67.01	2	4	12	18	6	5	0	2
RID00075	CID:208908	CAS:231277-92-2	581.0690000000003	6.139100000000006	106.35000000000001	2	8	29	40	11	11	0	5
RID00076	CID:2130	CAS:768-94-5	151.253	1.9139	26.02	1	1	10	11	1	0	4	0
RID00077	CID:21704	CAS:5536-17-4	267.245	-1.979999999999998	139.54	4	9	10	19	9	2	1	2
RID00078	CID:222284	CAS:83-46-5	414.71800000000025	8.02480000000001	20.23	1	1	29	30	1	6	4	0
RID00079	CID:222757	CAS:50-50-0	376.496	5.122800000000005	46.53	1	3	25	28	3	3	3	2
RID00008	CID:102075992	CAS:89200-01-1	694.733	7.2631000000000085	205.20999999999998	8	11	40	51	11	7	2	4
RID00080	CID:2256	CAS:1912-24-9	215.688	1.7770999999999995	62.730000000000004	2	5	8	14	6	4	0	1
RID00081	CID:2266	CAS:123-99-9	188.22299999999996	1.8862999999999999	74.6	2	2	9	13	4	8	0	0
RID00082	CID:2337	CAS:94-09-7	165.19199999999995	1.4455000000000002	52.32	1	3	9	12	3	3	0	1
RID00083	CID:2353	CAS:2086-83-1	336.36700000000013	3.096300000000002	40.800000000000004	0	4	20	25	5	2	2	3
RID00084	CID:23616879	CAS:475-00-3	571.7550000000002	2.4187200000000013	131.64000000000001	6	8	33	41	8	5	5	1
RID00085	CID:23665637	CAS:74469-00-4	602.6630000000002	-5.402599999999997	222.85999999999999	5	11	24	40	16	4	4	1
RID00086	CID:23665760	CAS:7681-52-9	74.442	-3.4955	23.06	0	1	0	3	3	0	0	0
RID00087	CID:23675319	CAS:59703-84-3	382.41700000000014	-2.6238999999999937	98.66	1	6	18	26	8	5	2	1
RID00088	CID:23928102	CAS:81525-13-5	756.7069999999998	-2.5509999999999833	304.21000000000004	11	19	34	53	19	14	3	2
RID00089	CID:24007	CAS:7446-08-4	110.95799999999998	-0.6184000000000001	34.14	0	2	0	3	3	0	0	0
RID00009	CID:10215	CAS:482-89-3	262.26800000000003	3.1906000000000008	65.44999999999999	2	3	16	20	4	1	1	3
RID00090	CID:2407		354.0410000000001	4.598600000000001	46.12	0	3	12	19	7	2	0	2
RID00091	CID:243	CAS:65-85-0	122.12299999999996	1.3848	37.3	1	1	7	9	2	1	0	1
RID00092	CID:24462	CAS:7758-98-7	159.60899999999998	-1.3405	80.25999999999999	0	4	0	6	6	0	0	0
RID00093	CID:2450	CAS:52-51-7	199.98799999999994	-0.6611	83.60000000000001	2	4	3	9	6	3	0	0
RID00094	CID:24504	CAS:7778-54-3	142.982	-1.3798000000000001	46.12	0	2	0	5	5	0	0	0
RID00095	CID:25079965	CAS:20196-89-8	432.38100000000026	0.7831000000000004	170.04999999999998	6	10	21	31	10	3	1	3
RID00096	CID:25245	CAS:5003-48-5	197.24599999999998	-0.7108000000000005	83.2	2	7	7	14	7	3	0	1
RID00097	CID:2537	CAS:76-22-2	152.237	2.401700000000001	17.07	0	1	10	11	1	0	2	0
RID00098	CID:25517	CAS:12125-02-9	53.492000000000004	-2.6198	36.5	1	0	0	2	2	0	0	0
RID00099	CID:261501	CAS:886-86-2	261.299	0.9495	106.69	2	5	10	17	7	3	0	1
