id	pubchemid	casrn	mol.wt	logp	topological_polar_surface_area_	number_of_hydrogen_bond_donors	number_of_hydrogen_bond_acceptors	number_of_carbon_atoms	number_of_heavy_atom	number_of_heteroatoms	number_of_rotatable_bonds	number_of_aliphatic_rings	number_of_aromatic_rings
RID00171	CID:4583	CAS:82419-36-1	361.3730000000001	1.5439999999999998	75.01	1	6	18	26	8	2	2	2
RID00172	CID:4622	CAS:20559-55-1	249.26999999999998	2.5300000000000002	76.24000000000001	2	4	12	18	6	5	0	2
RID00173	CID:4629	CAS:14698-29-4	195.28599999999997	0.31840000000000024	20.310000000000002	0	1	11	14	3	1	1	0
RID00174	CID:4650	CAS:106-51-4	108.09599999999996	0.25060000000000004	34.14	0	2	6	8	2	0	1	0
RID00175	CID:479503	CAS:517-89-5	288.29900000000004	2.1204	94.83	3	5	16	21	5	3	1	1
RID00176	CID:4891	CAS:55268-74-1	312.4129999999999	2.5349000000000013	40.620000000000005	0	2	19	23	4	0	3	1
RID00177	CID:49800004	CAS:1404-26-8	1203.4989999999987	-5.244800000000004	490.6599999999996	18	18	56	85	29	22	1	1
RID00178	CID:500902		257.24600000000004	-2.1728999999999976	130.83	4	8	10	18	8	2	1	1
RID00179	CID:50248	CAS:68786-66-3	359.6650000000002	6.037300000000003	37.91	1	3	14	21	7	3	0	3
RID00018	CID:10658	CAS:523-50-2	186.166	2.539200000000001	43.35	0	3	11	14	3	0	0	3
RID00180	CID:5154	CAS:5578-73-4	332.33500000000015	3.4281000000000033	40.800000000000004	0	4	20	25	5	0	2	4
RID00181	CID:516875	CAS:7722-64-7	158.03199999999998	-4.543900000000001	74.27	0	4	0	6	6	0	0	0
RID00182	CID:517121	CAS:2893-78-9	219.947	-4.6648	75.17000000000002	0	5	3	12	9	0	0	1
RID00183	CID:5213	CAS:65666-07-1	482.4410000000003	2.3627000000000002	155.14	5	10	25	35	10	4	2	3
RID00184	CID:5215	CAS:68-35-9	250.28300000000004	0.8595999999999995	97.97	2	5	10	17	7	3	0	2
RID00185	CID:5216	CAS:122-34-9	201.661	1.3885999999999996	62.730000000000004	2	5	7	13	6	4	0	1
RID00186	CID:5234	CAS:7647-14-5	58.443	-5.992	0.0	0	0	0	2	2	0	0	0
RID00187	CID:5240	CAS:64-69-7	185.94799999999998	0.506	37.3	1	1	2	5	3	1	0	0
RID00188	CID:5273569	CAS:574-84-5	208.16899999999998	1.2127999999999997	79.9	2	5	10	15	5	1	0	2
RID00189	CID:5280343	CAS:117-39-5	302.238	1.9879999999999993	131.36	5	7	15	22	7	1	0	3
RID00019	CID:107793	CAS:20874-52-6	780.9930000000002	1.7769000000000086	207.98999999999998	8	13	42	55	13	6	8	0
RID00190	CID:5280440	CAS:1401-69-0	916.1119999999995	1.8335000000000123	238.66999999999996	5	18	46	64	18	13	4	0
RID00191	CID:5280442	CAS:480-44-4	284.26700000000005	2.8798000000000012	79.9	2	5	16	21	5	2	0	3
RID00192	CID:5280445	CAS:491-70-3	286.23900000000003	2.2824	111.13000000000001	4	6	15	21	6	1	0	3
RID00193	CID:5280536	CAS:458-36-6	178.18699999999998	1.6129	46.53	1	3	10	13	3	3	0	1
RID00194	CID:5280723	CAS:745-65-3	354.4870000000002	3.475100000000002	94.83000000000001	3	4	20	25	5	13	1	0
RID00195	CID:5280804	CAS:482-35-9	464.3790000000003	-0.5388999999999986	210.50999999999996	8	12	21	33	12	4	1	3
RID00196	CID:5280805	CAS:153-18-4	610.5210000000003	-1.6870999999999945	269.42999999999995	10	16	27	43	16	6	2	3
RID00197	CID:5280863	CAS:520-18-3	286.239	2.282399999999999	111.13000000000002	4	6	15	21	6	1	0	3
RID00198	CID:5280961	CAS:446-72-0	270.24	2.5768000000000004	90.9	3	5	15	20	5	1	0	3
RID00199	CID:5281224	CAS:472-61-7	596.8520000000002	8.905400000000004	74.6	2	4	40	44	4	10	2	0
RID00002	CID:10101397		722.608	2.035400000000002	290.42999999999995	10	17	35	52	17	6	2	4
RID00020	CID:11122	CAS:553-97-9	122.12299999999996	0.6407	34.14	0	2	7	9	2	0	1	0
RID00200	CID:5281255	CAS:20784-50-3	324.37600000000003	4.208200000000003	77.76	3	4	20	24	4	5	0	2
RID00201	CID:5281303	CAS:11141-17-6	720.7209999999999	-0.20309999999999184	215.33999999999997	3	16	35	51	16	10	8	0
RID00202	CID:5281426	CAS:93-35-6	162.14399999999998	1.4985999999999995	50.440000000000005	1	3	9	12	3	0	0	2
RID00203	CID:5281600	CAS:1617-53-4	538.4640000000003	5.134000000000006	181.8	6	10	30	40	10	3	0	6
RID00204	CID:5281607	CAS:480-40-0	254.241	2.871200000000001	70.67	2	4	15	19	4	1	0	3
RID00205	CID:5281613	CAS:520-27-4	608.5490000000002	-1.0896999999999935	238.19999999999996	8	15	28	43	15	7	2	3
RID00206	CID:5281647	CAS:4773-96-0	422.3420000000003	-0.7164999999999995	201.27999999999997	8	11	19	30	11	2	1	3
RID00207	CID:5281650	CAS:6147-11-1	410.46600000000024	5.089000000000004	100.13000000000001	3	6	24	30	6	5	0	3
RID00208	CID:5281666	CAS:491-54-3	300.266	2.5854	100.13000000000002	3	6	16	22	6	2	0	3
RID00209	CID:5281667	CAS:75629-19-5	692.7170000000001	7.330000000000009	209.11999999999998	8	11	40	51	11	7	1	5
RID00021	CID:1123	CAS:107-35-7	125.14900000000002	-1.1671	80.39	2	3	2	7	5	2	0	0
RID00210	CID:5281718	CAS:27208-80-6	390.38800000000015	0.44690000000000096	139.84	6	8	20	28	8	5	1	2
RID00211	CID:5281806	CAS:18642-23-4	336.3430000000001	4.612300000000003	83.81	2	5	20	25	5	2	0	4
RID00212	CID:5281915	CAS:303-98-0	863.3649999999996	17.853899999999975	52.6	0	4	59	63	4	31	1	0
RID00213	CID:5282169	CAS:35457-80-8	813.9789999999997	2.76740000000001	206.05	3	16	41	57	16	14	3	0
RID00214	CID:5282521	CAS:108050-54-0	869.1469999999998	3.3414000000000117	186.14999999999998	4	15	46	61	15	12	4	0
RID00215	CID:5284507	CAS:7212-44-4	222.37199999999996	4.396300000000004	20.23	1	1	15	16	1	7	0	0
RID00216	CID:53025	CAS:69712-56-7	575.6320000000002	-1.3974999999999975	219.92999999999998	4	14	17	36	19	7	3	1
RID00217	CID:5318516	CAS:18836-52-7	223.36	3.4513000000000025	29.1	1	1	14	16	2	8	0	0
RID00218	CID:5318638	CAS:56701-24-7	448.64400000000035	3.879500000000003	79.15	3	5	27	32	5	0	6	0
RID00219	CID:5320053	CAS:41060-15-5	322.36000000000007	4.379900000000003	70.67	2	4	20	24	4	3	0	3
RID00022	CID:11230	CAS:562-74-3	154.253	2.503700000000001	20.23	1	1	10	11	1	1	1	0
RID00220	CID:5321010	CAS:28957-04-2	364.4380000000002	0.3755999999999995	107.22	4	6	20	26	6	0	6	0
RID00221	CID:5323714	CAS:67-45-8	225.16	0.9739000000000001	98.17999999999999	0	6	8	16	8	2	1	1
RID00222	CID:5329	CAS:723-46-6	253.28300000000002	1.3660200000000002	98.22	2	5	10	17	7	3	0	2
RID00223	CID:5336	CAS:144-83-2	249.29500000000004	1.4646	85.08	2	4	11	17	6	3	0	2
RID00224	CID:5361	CAS:145-63-1	1297.3019999999992	6.74324000000001	483.7499999999997	12	17	51	86	35	16	0	8
RID00225	CID:5430	CAS:148-79-8	201.25400000000002	2.686400000000001	41.57	1	3	10	14	4	1	0	3
RID00226	CID:543093	CAS:1633-14-3	265.888	1.6958	34.14	0	2	6	10	4	0	1	0
RID00227	CID:5464078	CAS:31271-07-5	396.43900000000014	4.786000000000003	111.13000000000001	4	6	23	29	6	4	0	3
RID00228	CID:54671203	CAS:564-25-0	444.4400000000003	-0.5041999999999984	181.62	6	9	22	32	10	1	3	1
RID00229	CID:54675776	CAS:60-54-8	444.4400000000003	-0.3709999999999991	181.62	6	9	22	32	10	1	3	1
RID00023	CID:11294	CAS:569-64-2	364.92000000000013	1.3976000000000008	6.25	0	1	23	26	3	3	1	2
RID00230	CID:54675779	CAS:79-57-2	460.43900000000036	-1.4001999999999966	201.85	7	10	22	33	11	1	3	1
RID00231	CID:54675783	CAS:10118-90-8	457.48300000000035	0.030000000000000915	164.63000000000005	5	9	23	33	10	2	3	1
RID00232	CID:54686183	CAS:10592-13-9	1025.8859999999993	-0.990899999999985	414.9699999999999	13	19	46	70	24	2	6	2
RID00233	CID:5472496	CAS:72944-05-5	425.3400000000001	6.808500000000006	23.550000000000004	0	2	22	28	6	1	1	3
RID00234	CID:5479529	CAS:55268-75-2	424.3910000000003	-0.5359999999999987	173.76000000000002	3	9	16	29	13	6	2	1
RID00235	CID:5479530	CAS:73384-59-5	554.5920000000002	-1.6112999999999982	214.96	4	14	18	36	18	7	2	2
RID00236	CID:5479537	CAS:88040-23-7	480.57200000000046	-1.2798999999999956	150.04	2	10	19	32	13	6	3	1
RID00237	CID:5481173	CAS:72558-82-8	546.5870000000003	-1.299199999999995	191.22	3	11	22	37	15	8	2	2
RID00238	CID:55283	CAS:84625-61-6	705.6470000000004	5.577300000000006	104.70000000000002	0	12	35	49	14	11	2	5
RID00239	CID:5564	CAS:3380-34-5	289.5450000000001	5.144700000000002	29.46	1	2	12	17	5	2	0	2
RID00024	CID:114811	CAS:73231-34-2	358.21800000000013	1.3815000000000004	83.47	2	4	12	21	9	6	0	1
RID00240	CID:5578	CAS:738-70-5	290.3230000000001	1.2575999999999998	105.50999999999999	2	7	14	21	7	5	0	2
RID00241	CID:57345804	CAS:32289-58-0	213.32899999999995	0.45799999999999974	88.78999999999999	3	2	10	15	5	8	0	0
RID00242	CID:5742673	CAS:63527-52-6	455.47400000000033	-0.6224999999999987	173.51000000000002	3	11	16	30	14	7	2	1
RID00243	CID:5742832	CAS:78110-38-0	435.4400000000003	-1.1724999999999974	201.58	4	10	13	28	15	6	1	1
RID00244	CID:5853	CAS:52-68-6	257.43699999999995	2.1609000000000007	55.76	1	4	4	12	8	4	0	0
RID00245	CID:5959	CAS:56-75-7	323.13200000000006	0.9090000000000003	112.7	3	5	11	20	9	6	0	1
RID00246	CID:5978	CAS:91080-29-4	824.9719999999996	3.5175000000000063	171.17000000000002	3	12	46	60	14	10	6	3
RID00247	CID:60164	CAS:106685-40-9	412.5290000000001	6.681400000000006	46.53	1	2	28	31	3	4	4	3
RID00248	CID:60202781	CAS:8003-34-7	700.9130000000001	8.269500000000008	113.03999999999999	0	8	43	51	8	16	4	0
RID00249	CID:6024	CAS:153-61-7	396.44600000000025	0.5922999999999998	113.01	2	7	16	26	10	6	2	1
RID00025	CID:11617	CAS:592-88-1	114.213	2.0916	0.0	0	1	6	7	1	4	0	0
RID00250	CID:6032	CAS:8063-07-8	484.5030000000002	-7.291400000000005	282.61	11	15	18	33	15	6	3	0
RID00251	CID:612	CAS:50-21-5	90.078	-0.5482	57.53	2	2	3	6	3	1	0	0
RID00252	CID:6129	CAS:63-25-2	201.225	2.5580000000000007	38.33	1	2	12	15	3	2	0	2
RID00253	CID:6196	CAS:66-79-5	401.4440000000002	1.8953200000000001	112.74	2	6	19	28	9	3	2	2
RID00254	CID:62367	CAS:546-79-2	154.253	2.1935000000000002	20.23	1	1	10	11	1	1	2	0
RID00255	CID:6240	CAS:69-09-0	355.33400000000006	5.316200000000005	6.48	0	3	17	22	5	4	1	2
RID00256	CID:6249	CAS:69-53-4	349.41200000000003	0.3181000000000014	112.72999999999999	3	5	16	24	8	3	2	1
RID00257	CID:6253	CAS:147-94-4	243.21900000000002	-2.562999999999998	130.83	4	8	9	17	8	2	1	1
RID00258	CID:6321424	CAS:70288-86-7	875.106	5.601400000000007	170.06	3	14	48	62	14	8	7	0
RID00259	CID:6323491	CAS:12772-57-5	364.7810000000002	2.691600000000001	96.36	2	6	18	25	7	0	2	1
RID00026	CID:11650986	CAS:155569-91-8	1008.2559999999997	6.989300000000012	199.16	4	15	56	72	16	10	7	1
RID00260	CID:6328657	CAS:80370-57-6	523.5740000000004	0.9809999999999999	177.42	3	12	19	34	15	8	2	2
RID00261	CID:637511	CAS:104-55-2	132.16199999999998	1.8987	17.07	0	1	9	10	1	2	0	1
RID00262	CID:637566	CAS:106-24-1	154.25299999999996	2.671400000000001	20.23	1	1	10	11	1	4	0	0
RID00263	CID:637760	CAS:94-41-7	208.26	3.5827000000000018	17.07	0	1	15	16	1	3	0	2
RID00264	CID:638011	CAS:5392-40-5	152.23699999999997	2.878000000000001	17.07	0	1	10	11	1	4	0	0
RID00265	CID:638278	CAS:961-29-5	256.257	2.6995000000000005	77.76	3	4	15	19	4	3	0	2
RID00266	CID:638678	CAS:24305-27-9	362.3900000000002	-1.8080999999999956	150.27999999999997	4	5	16	26	10	4	2	1
RID00267	CID:6436223	CAS:88899-55-2	622.8400000000001	4.692700000000004	134.91000000000003	4	9	35	44	9	7	2	0
RID00268	CID:6450551	CAS:319460-85-0	386.48000000000013	4.639100000000003	70.67	2	4	22	28	6	5	0	4
RID00269	CID:6453524	CAS:2761-77-5	281.355	3.240000000000002	43.7	2	3	18	21	3	0	2	2
RID00027	CID:117587576	CAS:61251-97-6	562.6120000000004	0.7359000000000029	149.10999999999999	2	11	29	40	11	1	7	0
RID00270	CID:64685	CAS:507-70-0	154.253	2.1935000000000002	20.23	1	1	10	11	1	0	2	0
RID00271	CID:64945	CAS:77-52-1	456.71100000000024	7.089500000000009	57.53	2	2	30	33	3	1	5	0
