id	pubchemid	casrn	chemical_name	listname	link	category	class
RID00122	3365	86386-73-4	Fluconazole	EU Union-wide Monitoring Watchlist	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020D1161	External environmental exposome	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	NPI Australia	http://www.npi.gov.au/substances/substance-list-and-thresholds	External environmental exposome	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	SIN List	https://sinsearch.chemsec.org	Miscellaneous external exposomes	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	SVHC under REACH	https://echa.europa.eu/candidate-list-table	Miscellaneous external exposomes	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00126	3485	111-30-8	Glutaraldehyde	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00127	3496	1071-83-6	Glyphosate	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00127	3496	1071-83-6	Glyphosate	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00127	3496	1071-83-6	Glyphosate	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00130	3641960	127-65-1	Chloramine-T	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00130	3641960	127-65-1	Chloramine-T	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00135	3806	481-39-0	Juglone	Schedule 1 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-I.html	Miscellaneous external exposomes	Substances of concern
RID00135	3806	481-39-0	Juglone	Schedule 3 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-3.html	Miscellaneous external exposomes	Substances of concern
