id	pubchemid	casrn	substance_type
RID00001	CID:10091801	CAS:351518-03-7	Compound
RID00010	CID:10228	CAS:484-12-8	Compound
RID00100	CID:26879	CAS:14769-73-4	Compound
RID00101	CID:2703	CAS:34316-15-9	Compound
RID00102	CID:2719	CAS:54-05-7	Compound
RID00103	CID:27200	CAS:15318-45-3	Compound
RID00104	CID:2726	CAS:50-53-3	Compound
RID00105	CID:2730	CAS:2921-88-2	Compound
RID00106	CID:27447	CAS:15686-71-2	Compound
RID00107	CID:2758	CAS:470-82-6	Compound
RID00108	CID:276389	CAS:26833-85-2	Compound
RID00109	CID:2764	CAS:85721-33-1	Compound
RID00011	CID:10281	CAS:490-91-5	Compound
RID00110	CID:27944	CAS:16595-80-5	Compound
RID00111	CID:2912	CAS:52315-07-8	Compound
RID00112	CID:30231	CAS:20702-77-6	Compound
RID00113	CID:3039	CAS:62-73-7	Compound
RID00114	CID:3083714	CAS:1406-11-7	Compound
RID00115	CID:31101	CAS:25614-03-3	Compound
RID00116	CID:3120	CAS:330-54-1	Compound
RID00117	CID:3220	CAS:518-82-1	Compound
RID00118	CID:323	CAS:91-64-5	Compound
RID00119	CID:3314	CAS:97-53-0	Compound
RID00012	CID:10286	CAS:491-38-3	Compound
RID00120	CID:33255	CAS:25953-19-9	Compound
RID00121	CID:336327	CAS:32383-76-9	Compound
RID00122	CID:3365	CAS:86386-73-4	Compound
RID00123	CID:3374	CAS:42835-25-6	Compound
RID00124	CID:34474	CAS:29096-93-3	Compound
RID00125	CID:3467	CAS:1403-66-3	Compound
RID00126	CID:3485	CAS:111-30-8	Compound
RID00127	CID:3496	CAS:1071-83-6	Compound
RID00128	CID:35802	CAS:31430-15-6	Compound
RID00129	CID:3610	CAS:136-77-6	Compound
RID00013	CID:10290825	CAS:19902-08-0	Compound
RID00130	CID:3641960	CAS:127-65-1	Compound
RID00131	CID:3686	CAS:58186-27-9	Compound
RID00132	CID:37123	CAS:35367-38-5	Compound
RID00133	CID:37542	CAS:36791-04-5	Compound
RID00134	CID:37768	CAS:37517-28-5	Compound
RID00135	CID:3806	CAS:481-39-0	Compound
RID00136	CID:38103	CAS:38821-53-3	Compound
RID00137	CID:4004	CAS:121-75-5	Compound
RID00138	CID:4030	CAS:31431-39-7	Compound
RID00139	CID:40326	CAS:52645-53-1	Compound
RID00014	CID:10337211	CAS:19879-30-2	Compound
RID00140	CID:4055	CAS:58-27-5	Compound
RID00141	CID:40585	CAS:52918-63-5	Compound
RID00142	CID:40854	CAS:53716-50-0	Compound
RID00143	CID:410087	CAS:25655-41-8	Compound
RID00144	CID:42586	CAS:57837-19-1	Compound
RID00145	CID:42611257	CAS:918504-65-1	Compound
RID00146	CID:4284	CAS:134-62-3	Compound
RID00147	CID:439246	CAS:480-41-1	Compound
RID00148	CID:439250	CAS:5989-54-8	Compound
RID00149	CID:439262	CAS:9041-22-9	Compound
RID00015	CID:10364	CAS:499-75-2	Compound
RID00150	CID:439533	CAS:480-18-2	Compound
RID00151	CID:440917	CAS:5989-27-5	Compound
RID00152	CID:440967	CAS:18172-67-3	Compound
RID00153	CID:441140	CAS:17090-79-8	Compound
RID00154	CID:441199	CAS:35607-66-0	Compound
RID00155	CID:441306	CAS:56391-56-1	Compound
RID00156	CID:44187	CAS:62893-19-0	Compound
RID00157	CID:4421	CAS:389-08-2	Compound
RID00158	CID:442424	CAS:6902-77-8	Compound
RID00159	CID:442474	CAS:142449-87-4	Compound
RID00016	CID:10494	CAS:508-02-1	Compound
RID00160	CID:443162	CAS:10482-56-1	Compound
RID00161	CID:44446856		Compound
RID00162	CID:444539	CAS:140-10-3	Compound
RID00163	CID:445154	CAS:501-36-0	Compound
RID00164	CID:445858	CAS:1135-24-6	Compound
RID00165	CID:446598	CAS:18323-44-9	Compound
RID00166	CID:446925	CAS:502-65-8	Compound
RID00167	CID:447043	CAS:83905-01-5	Compound
RID00168	CID:4471	CAS:50-65-7	Compound
RID00169	CID:4493	CAS:63612-50-0	Compound
RID00017	CID:10569	CAS:514-10-3	Compound
RID00170	CID:4539	CAS:70458-96-7	Compound
RID00171	CID:4583	CAS:82419-36-1	Compound
RID00172	CID:4622	CAS:20559-55-1	Compound
RID00173	CID:4629	CAS:14698-29-4	Compound
RID00174	CID:4650	CAS:106-51-4	Compound
RID00175	CID:479503	CAS:517-89-5	Compound
RID00176	CID:4891	CAS:55268-74-1	Compound
RID00177	CID:49800004	CAS:1404-26-8	Compound
RID00178	CID:500902		Compound
RID00179	CID:50248	CAS:68786-66-3	Compound
RID00018	CID:10658	CAS:523-50-2	Compound
RID00180	CID:5154	CAS:5578-73-4	Compound
RID00181	CID:516875	CAS:7722-64-7	Compound
RID00182	CID:517121	CAS:2893-78-9	Compound
RID00183	CID:5213	CAS:65666-07-1	Compound
RID00184	CID:5215	CAS:68-35-9	Compound
RID00185	CID:5216	CAS:122-34-9	Compound
RID00186	CID:5234	CAS:7647-14-5	Compound
RID00187	CID:5240	CAS:64-69-7	Compound
RID00188	CID:5273569	CAS:574-84-5	Compound
RID00189	CID:5280343	CAS:117-39-5	Compound
RID00019	CID:107793	CAS:20874-52-6	Compound
RID00190	CID:5280440	CAS:1401-69-0	Compound
RID00191	CID:5280442	CAS:480-44-4	Compound
RID00192	CID:5280445	CAS:491-70-3	Compound
RID00193	CID:5280536	CAS:458-36-6	Compound
RID00194	CID:5280723	CAS:745-65-3	Compound
RID00195	CID:5280804	CAS:482-35-9	Compound
RID00196	CID:5280805	CAS:153-18-4	Compound
RID00197	CID:5280863	CAS:520-18-3	Compound
RID00198	CID:5280961	CAS:446-72-0	Compound
RID00199	CID:5281224	CAS:472-61-7	Compound
RID00002	CID:10101397		Compound
RID00020	CID:11122	CAS:553-97-9	Compound
RID00200	CID:5281255	CAS:20784-50-3	Compound
RID00201	CID:5281303	CAS:11141-17-6	Compound
RID00202	CID:5281426	CAS:93-35-6	Compound
RID00203	CID:5281600	CAS:1617-53-4	Compound
RID00204	CID:5281607	CAS:480-40-0	Compound
RID00205	CID:5281613	CAS:520-27-4	Compound
RID00206	CID:5281647	CAS:4773-96-0	Compound
RID00207	CID:5281650	CAS:6147-11-1	Compound
RID00208	CID:5281666	CAS:491-54-3	Compound
RID00209	CID:5281667	CAS:75629-19-5	Compound
RID00021	CID:1123	CAS:107-35-7	Compound
RID00210	CID:5281718	CAS:27208-80-6	Compound
RID00211	CID:5281806	CAS:18642-23-4	Compound
RID00212	CID:5281915	CAS:303-98-0	Compound
RID00213	CID:5282169	CAS:35457-80-8	Compound
RID00214	CID:5282521	CAS:108050-54-0	Compound
RID00215	CID:5284507	CAS:7212-44-4	Compound
RID00216	CID:53025	CAS:69712-56-7	Compound
RID00217	CID:5318516	CAS:18836-52-7	Compound
RID00218	CID:5318638	CAS:56701-24-7	Compound
RID00219	CID:5320053	CAS:41060-15-5	Compound
RID00022	CID:11230	CAS:562-74-3	Compound
RID00220	CID:5321010	CAS:28957-04-2	Compound
RID00221	CID:5323714	CAS:67-45-8	Compound
RID00222	CID:5329	CAS:723-46-6	Compound
RID00223	CID:5336	CAS:144-83-2	Compound
RID00224	CID:5361	CAS:145-63-1	Compound
RID00225	CID:5430	CAS:148-79-8	Compound
RID00226	CID:543093	CAS:1633-14-3	Compound
