id	pubchemid	casrn	substance_type
RID00227	CID:5464078	CAS:31271-07-5	Compound
RID00228	CID:54671203	CAS:564-25-0	Compound
RID00229	CID:54675776	CAS:60-54-8	Compound
RID00023	CID:11294	CAS:569-64-2	Compound
RID00230	CID:54675779	CAS:79-57-2	Compound
RID00231	CID:54675783	CAS:10118-90-8	Compound
RID00232	CID:54686183	CAS:10592-13-9	Compound
RID00233	CID:5472496	CAS:72944-05-5	Compound
RID00234	CID:5479529	CAS:55268-75-2	Compound
RID00235	CID:5479530	CAS:73384-59-5	Compound
RID00236	CID:5479537	CAS:88040-23-7	Compound
RID00237	CID:5481173	CAS:72558-82-8	Compound
RID00238	CID:55283	CAS:84625-61-6	Compound
RID00239	CID:5564	CAS:3380-34-5	Compound
RID00024	CID:114811	CAS:73231-34-2	Compound
RID00240	CID:5578	CAS:738-70-5	Compound
RID00241	CID:57345804	CAS:32289-58-0	Compound
RID00242	CID:5742673	CAS:63527-52-6	Compound
RID00243	CID:5742832	CAS:78110-38-0	Compound
RID00244	CID:5853	CAS:52-68-6	Compound
RID00245	CID:5959	CAS:56-75-7	Compound
RID00246	CID:5978	CAS:91080-29-4	Compound
RID00247	CID:60164	CAS:106685-40-9	Compound
RID00248	CID:60202781	CAS:8003-34-7	Compound
RID00249	CID:6024	CAS:153-61-7	Compound
RID00025	CID:11617	CAS:592-88-1	Compound
RID00250	CID:6032	CAS:8063-07-8	Compound
RID00251	CID:612	CAS:50-21-5	Compound
RID00252	CID:6129	CAS:63-25-2	Compound
RID00253	CID:6196	CAS:66-79-5	Compound
RID00254	CID:62367	CAS:546-79-2	Compound
RID00255	CID:6240	CAS:69-09-0	Compound
RID00256	CID:6249	CAS:69-53-4	Compound
RID00257	CID:6253	CAS:147-94-4	Compound
RID00258	CID:6321424	CAS:70288-86-7	Compound
RID00259	CID:6323491	CAS:12772-57-5	Compound
RID00026	CID:11650986	CAS:155569-91-8	Compound
RID00260	CID:6328657	CAS:80370-57-6	Compound
RID00261	CID:637511	CAS:104-55-2	Compound
RID00262	CID:637566	CAS:106-24-1	Compound
RID00263	CID:637760	CAS:94-41-7	Compound
RID00264	CID:638011	CAS:5392-40-5	Compound
RID00265	CID:638278	CAS:961-29-5	Compound
RID00266	CID:638678	CAS:24305-27-9	Compound
RID00267	CID:6436223	CAS:88899-55-2	Compound
RID00268	CID:6450551	CAS:319460-85-0	Compound
RID00269	CID:6453524	CAS:2761-77-5	Compound
RID00027	CID:117587576	CAS:61251-97-6	Compound
RID00270	CID:64685	CAS:507-70-0	Compound
RID00271	CID:64945	CAS:77-52-1	Compound
RID00272	CID:64981	CAS:7770-78-7	Compound
RID00273	CID:64982	CAS:21967-41-9	Compound
RID00274	CID:65064	CAS:989-51-5	Compound
RID00275	CID:65268	CAS:80210-62-4	Compound
RID00276	CID:6549	CAS:78-70-6	Compound
RID00277	CID:65575	CAS:77-53-2	Compound
RID00278	CID:6585	CAS:79-21-0	Compound
RID00279	CID:6604200	CAS:67-20-9	Compound
RID00028	CID:12011	CAS:615-93-0	Compound
RID00280	CID:6616	CAS:79-92-5	Compound
RID00281	CID:6654	CAS:80-56-8	Compound
RID00282	CID:67215	CAS:129-73-7	Compound
RID00283	CID:6755	CAS:83-72-7	Compound
RID00284	CID:6775	CAS:84-58-2	Compound
RID00285	CID:68071	CAS:480-39-7	Compound
RID00286	CID:68101	CAS:488-48-2	Compound
RID00287	CID:6817	CAS:85-66-5	Compound
RID00288	CID:68238	CAS:527-17-3	Compound
RID00289	CID:68239	CAS:527-21-9	Compound
RID00029	CID:12035	CAS:616-91-1	Compound
RID00290	CID:68241	CAS:527-61-7	Compound
RID00291	CID:68262	CAS:530-55-2	Compound
RID00292	CID:689043	CAS:331-39-5	Compound
RID00293	CID:69068	CAS:605-94-7	Compound
RID00294	CID:6909	CAS:87-90-1	Compound
RID00295	CID:69213	CAS:615-94-1	Compound
RID00296	CID:69671	CAS:695-99-8	Compound
RID00297	CID:6989	CAS:89-83-8	Compound
RID00298	CID:70055	CAS:844-51-9	Compound
RID00299	CID:702	CAS:64-17-5	Compound
RID00003	CID:10114	CAS:471-53-4	Compound
RID00030	CID:1254	CAS:89-78-1	Compound
RID00300	CID:70291	CAS:935-92-2	Compound
RID00301	CID:71188	CAS:93106-60-6	Compound
RID00302	CID:712	CAS:50-00-0	Compound
RID00303	CID:71482	CAS:35575-96-3	Compound
RID00304	CID:71777	CAS:103055-07-8	Compound
RID00305	CID:71853	CAS:9012-76-4	Compound
RID00306	CID:72	CAS:99-50-3	Compound
RID00307	CID:72276	CAS:490-46-0	Compound
RID00308	CID:72300	CAS:528-43-8	Compound
RID00309	CID:72936	CAS:97938-30-2	Compound
RID00031	CID:12560	CAS:114-07-8	Compound
RID00310	CID:7628	CAS:10043-35-3	Compound
RID00311	CID:76621	CAS:3160-91-6	Compound
RID00312	CID:76959646	CAS:86831-54-1	Compound
RID00313	CID:7794	CAS:106-23-0	Compound
RID00314	CID:78000	CAS:204255-11-8	Compound
RID00315	CID:784	CAS:7722-84-1	Compound
RID00316	CID:798	CAS:120-72-9	Compound
RID00317	CID:807	CAS:7553-56-2	Compound
RID00318	CID:8215	CAS:112-85-6	Compound
RID00319	CID:8371	CAS:118-75-2	Compound
RID00032	CID:12771	CAS:697-91-6	Compound
RID00320	CID:8378	CAS:1404-04-2	Compound
RID00321	CID:83969	CAS:54029-12-8	Compound
RID00322	CID:84029	CAS:81103-11-9	Compound
RID00323	CID:8468	CAS:121-34-6	Compound
RID00324	CID:8530	CAS:130-15-4	Compound
RID00325	CID:86325777	CAS:775351-88-7	Compound
RID00326	CID:8718	CAS:137-18-8	Compound
RID00327	CID:875	CAS:87-69-4	Compound
RID00328	CID:892	CAS:87-89-8	Compound
RID00329	CID:91466	CAS:519-02-8	Compound
RID00033	CID:12867	CAS:719-22-2	Compound
RID00330	CID:91590	CAS:28159-98-0	Compound
RID00331	CID:91688	CAS:64359-81-5	Compound
RID00332	CID:91734	CAS:83121-18-0	Compound
RID00333	CID:92965	CAS:511-15-9	Compound
RID00334	CID:9415	CAS:315-22-0	Compound
RID00335	CID:9547215	CAS:465-21-4	Compound
RID00336	CID:9552081	CAS:18472-51-0	Compound
RID00337	CID:9688	CAS:363-03-1	Compound
RID00338	CID:969516	CAS:458-37-7	Compound
RID00339	CID:971	CAS:144-62-7	Compound
RID00034	CID:129532628	CAS:9072-19-9	Compound
RID10001		CAS:68647-73-4	Mixture
RID10002		CAS:68917-18-0	Mixture
RID10003		CAS:8000-34-8	Mixture
RID10004		CAS:8000-48-4	Mixture
RID10005		CAS:8006-84-6	Mixture
RID10006		CAS:8007-11-2	Mixture
RID10007		CAS:8007-70-3	Mixture
RID10008		CAS:8014-09-3	Mixture
RID10009		CAS:8014-19-5	Mixture
RID10010		CAS:8014-29-7	Mixture
RID00035	CID:13359	CAS:3411-58-3	Compound
RID10011		CAS:8015-96-1	Mixture
RID10012		CAS:8015-97-2	Mixture
RID10013		CAS:8024-37-1	Mixture
RID10014		CAS:84929-31-7	Mixture
RID00340			Compound
RID00341			Compound
RID00342			Compound
RID00343			Compound
RID20001			Nanomaterial
RID00344			Compound
RID00036	CID:13450	CAS:886-50-0	Compound
RID00345			Compound
RID00346			Compound
RID00347			Compound
RID00348			Compound
RID10015			Mixture
RID10016			Mixture
RID10017			Mixture
RID10018			Mixture
RID10019			Mixture
RID10020			Mixture
RID00037	CID:135398513	CAS:59277-89-3	Compound
RID10021			Mixture
RID10022			Mixture
RID10023			Mixture
RID10024			Mixture
RID10025			Mixture
RID10026			Mixture
RID10027			Mixture
RID10028			Mixture
RID10029			Mixture
RID10030			Mixture
RID00038	CID:135398635	CAS:118-00-3	Compound
RID10031			Mixture
RID10032			Mixture
RID10033			Mixture
RID10034			Mixture
RID10035			Mixture
RID10036			Mixture
RID10037			Mixture
RID10038			Mixture
RID10039			Mixture
RID00349			Compound
RID00039	CID:135398735	CAS:13292-46-1	Compound
RID10040			Mixture
RID10041			Mixture
RID10042			Mixture
RID00350			Compound
RID00351			Compound
RID00352			Compound
RID00353			Compound
RID00354			Compound
RID00355			Compound
RID10043			Mixture
RID00004	CID:10114809	CAS:54141-72-9	Compound
RID00040	CID:135398740	CAS:82410-32-0	Compound
RID20002			Biological Macromolecule
RID10044			Mixture
RID10045			Mixture
RID10046			Mixture
RID10047			Mixture
RID10048			Mixture
RID10049			Mixture
RID10050			Mixture
RID10051			Mixture
RID10052			Mixture
RID00041	CID:135430323	CAS:20004-62-0	Compound
RID20003			Nanomaterial
RID10053			Mixture
RID10054			Mixture
RID10055			Mixture
RID10056			Mixture
RID10057			Mixture
RID10058			Mixture
RID10059			Mixture
RID10060			Mixture
RID10061			Mixture
RID00042	CID:135449328	CAS:58306-30-2	Compound
RID10062			Mixture
RID10063			Mixture
RID10064			Mixture
RID10065			Mixture
RID10066			Mixture
RID10067			Mixture
RID10068			Mixture
RID10069			Mixture
RID10070			Mixture
RID10071			Mixture
RID00043	CID:140616	CAS:19832-87-2	Compound
RID10072			Mixture
RID10073			Mixture
RID10074			Mixture
RID10075			Mixture
RID10076			Mixture
RID10077			Mixture
RID20004			Nanomaterial
RID10078			Mixture
RID00356			Compound
RID10079			Mixture
RID00044	CID:14162695	CAS:119262-68-9	Compound
RID10080			Mixture
RID10081			Mixture
RID10082			Mixture
RID10083			Mixture
RID10084			Mixture
RID10085			Mixture
RID10086			Mixture
RID10087			Mixture
RID10088			Mixture
RID10089			Mixture
RID00045	CID:14236566	CAS:19879-32-4	Compound
RID10090			Mixture
RID10091			Mixture
RID10092			Mixture
RID10093			Mixture
RID10094			Mixture
RID10095			Mixture
RID20005			Nanomaterial
RID10096			Mixture
RID10097			Mixture
RID10098			Mixture
RID00046	CID:14463159	CAS:13137-64-9	Compound
RID10099			Mixture
RID10100			Mixture
RID10101			Mixture
RID10102			Mixture
RID20006			Nanomaterial
RID10103			Mixture
RID10104			Mixture
RID10105			Mixture
RID10106			Mixture
RID10107			Mixture
RID00047	CID:14778	CAS:1305-78-8	Compound
RID10108			Mixture
RID10109			Mixture
RID10110			Mixture
RID10111			Mixture
RID10112			Mixture
RID10113			Mixture
RID10114			Mixture
RID10115			Mixture
RID10116			Mixture
RID10117			Mixture
RID00048	CID:149096	CAS:100986-85-4	Compound
RID10118			Mixture
RID10119			Mixture
RID10120			Mixture
RID10121			Mixture
RID10122			Mixture
RID10123			Mixture
RID10124			Mixture
RID10125			Mixture
RID10126			Mixture
RID10127			Mixture
RID00049	CID:14969	CAS:1404-90-6	Compound
RID10128			Mixture
RID10129			Mixture
RID10130			Mixture
RID10131			Mixture
RID10132			Mixture
RID10133			Mixture
RID10134			Mixture
RID10135			Mixture
RID10136			Mixture
RID10137			Mixture
RID00005	CID:101405	CAS:3117-03-1	Compound
RID00050	CID:14982	CAS:1405-86-3	Compound
RID10138			Mixture
RID10139			Mixture
RID10140			Mixture
RID10141			Mixture
RID10142			Mixture
RID20007			Nanomaterial
RID10143			Mixture
RID10144			Mixture
RID10145			Mixture
RID10146			Mixture
RID00051	CID:152946	CAS:151096-09-2	Compound
RID10147			Mixture
RID10148			Mixture
RID10149			Mixture
RID10150			Mixture
RID00357			Compound
RID10151			Mixture
RID10152			Mixture
RID10153			Mixture
RID10154			Mixture
RID10155			Mixture
RID00052	CID:1563	CAS:2507-55-3	Compound
RID10156			Mixture
RID10157			Mixture
RID10158			Mixture
RID10159			Mixture
RID10160			Mixture
RID10161			Mixture
RID10162			Mixture
RID10163			Mixture
RID10164			Mixture
RID10165			Mixture
RID00053	CID:15910	CAS:1897-45-6	Compound
RID10166			Mixture
RID10167			Mixture
RID10168			Mixture
RID10169			Mixture
RID10170			Mixture
RID10171			Mixture
RID10172			Mixture
RID10173			Mixture
RID10174			Mixture
RID10175			Mixture
RID00054	CID:15976	CAS:4697-36-3	Compound
RID10176			Mixture
RID10177			Mixture
RID10178			Mixture
RID10179			Mixture
RID10180			Mixture
RID10181			Mixture
RID10182			Mixture
RID10183			Mixture
RID10184			Mixture
RID10185			Mixture
RID00055	CID:159762		Compound
RID10186			Mixture
RID10187			Mixture
RID10188			Mixture
RID10189			Mixture
RID10190			Mixture
RID10191			Mixture
RID10192			Mixture
RID00358			Compound
RID10193			Mixture
RID10194			Mixture
RID00056	CID:16129778	CAS:1401-55-4	Compound
RID20008			Mineral
RID10195			Mixture
RID10196			Mixture
RID10197			Mixture
RID10198			Mixture
RID10199			Mixture
RID10200			Mixture
RID10201			Mixture
RID10202			Mixture
RID10203			Mixture
RID00057	CID:16590	CAS:2179-57-9	Compound
RID10204			Mixture
RID10205			Mixture
RID10206			Mixture
RID10207			Mixture
RID10208			Mixture
RID10209			Mixture
RID10210			Mixture
RID10211			Mixture
RID10212			Mixture
RID10213			Mixture
RID00058	CID:16747	CAS:4638-92-0	Compound
RID10214			Mixture
RID10215			Mixture
RID10216			Mixture
RID10217			Mixture
RID10218			Mixture
RID10219			Mixture
RID10220			Mixture
RID10221			Mixture
RID10222			Mixture
RID10223			Mixture
RID00059	CID:167927	CAS:20736-08-7	Compound
RID10224			Mixture
RID10225			Mixture
RID00359			Compound
RID10226			Mixture
RID10227			Mixture
RID10228			Mixture
RID10229			Mixture
RID10230			Mixture
RID10231			Mixture
RID10232			Mixture
RID00006	CID:10163	CAS:478-08-0	Compound
RID00060	CID:167928	CAS:20736-09-8	Compound
RID10233			Mixture
RID10234			Mixture
RID10235			Mixture
RID10236			Mixture
RID10237			Mixture
RID10238			Mixture
RID10239			Mixture
RID10240			Mixture
RID10241			Mixture
RID20009			Nanomaterial
RID00061	CID:168114	CAS:23513-15-7	Compound
RID10242			Mixture
RID10243			Mixture
RID10244			Mixture
RID10245			Mixture
RID10246			Mixture
RID10247			Mixture
RID10248			Mixture
RID10249			Mixture
RID10250			Mixture
RID10251			Mixture
RID00062	CID:170990814		Compound
RID10252			Mixture
RID10253			Mixture
RID10254			Mixture
RID10255			Mixture
RID10256			Mixture
RID10257			Mixture
RID10258			Mixture
RID10259			Mixture
RID10260			Mixture
RID10261			Mixture
RID00063	CID:17161	CAS:2460-77-7	Compound
RID10262			Mixture
RID10263			Mixture
RID10264			Mixture
RID10265			Mixture
RID10266			Mixture
RID10267			Mixture
RID10268			Mixture
RID10269			Mixture
RID20010			Nanomaterial
RID20011			Nanomaterial
RID00064	CID:176	CAS:64-19-7	Compound
RID10270			Mixture
RID10271			Mixture
RID10272			Mixture
RID20012			Mineral
RID10273			Mixture
RID10274			Mixture
RID10275			Mixture
RID10276			Mixture
RID10277			Mixture
RID10278			Mixture
RID00065	CID:18347	CAS:3095-40-7	Compound
RID10279			Mixture
RID10280			Mixture
RID10281			Mixture
RID10282			Mixture
RID10283			Mixture
RID10284			Mixture
RID10285			Mixture
RID10286			Mixture
RID10287			Mixture
RID10288			Mixture
RID00066	CID:185617	CAS:27740-01-8	Compound
RID10289			Mixture
RID10290			Mixture
RID10291			Mixture
RID10292			Mixture
RID10293			Mixture
RID10294			Mixture
RID10295			Mixture
RID10296			Mixture
RID10297			Mixture
RID10298			Mixture
RID00067	CID:19211	CAS:3602-55-9	Compound
RID10299			Mixture
RID10300			Mixture
RID10301			Mixture
RID10302			Mixture
RID10303			Mixture
RID10304			Mixture
RID10305			Mixture
RID10306			Mixture
RID20013			Biological Macromolecule
RID10307			Mixture
RID00068	CID:193962	CAS:269055-15-4	Compound
RID20014			Nanomaterial
RID10308			Mixture
RID10309			Mixture
RID10310			Mixture
RID10311			Mixture
RID10312			Mixture
RID10313			Mixture
RID10314			Mixture
RID10315			Mixture
RID10316			Mixture
RID00069	CID:19649	CAS:57-92-1	Compound
RID10317			Mixture
RID00007	CID:10205	CAS:481-42-5	Compound
RID00070	CID:197162	CAS:1405-10-3	Compound
RID00071	CID:197810	CAS:476-32-4	Compound
RID00072	CID:1990	CAS:546-88-3	Compound
RID00073	CID:19958	CAS:4044-65-9	Compound
RID00074	CID:2082	CAS:54965-21-8	Compound
RID00075	CID:208908	CAS:231277-92-2	Compound
RID00076	CID:2130	CAS:768-94-5	Compound
RID00077	CID:21704	CAS:5536-17-4	Compound
RID00078	CID:222284	CAS:83-46-5	Compound
RID00079	CID:222757	CAS:50-50-0	Compound
RID00008	CID:102075992	CAS:89200-01-1	Compound
RID00080	CID:2256	CAS:1912-24-9	Compound
RID00081	CID:2266	CAS:123-99-9	Compound
RID00082	CID:2337	CAS:94-09-7	Compound
RID00083	CID:2353	CAS:2086-83-1	Compound
RID00084	CID:23616879	CAS:475-00-3	Compound
RID00085	CID:23665637	CAS:74469-00-4	Compound
RID00086	CID:23665760	CAS:7681-52-9	Compound
RID00087	CID:23675319	CAS:59703-84-3	Compound
RID00088	CID:23928102	CAS:81525-13-5	Compound
RID00089	CID:24007	CAS:7446-08-4	Compound
RID00009	CID:10215	CAS:482-89-3	Compound
RID00090	CID:2407		Compound
RID00091	CID:243	CAS:65-85-0	Compound
RID00092	CID:24462	CAS:7758-98-7	Compound
RID00093	CID:2450	CAS:52-51-7	Compound
RID00094	CID:24504	CAS:7778-54-3	Compound
RID00095	CID:25079965	CAS:20196-89-8	Compound
RID00096	CID:25245	CAS:5003-48-5	Compound
RID00097	CID:2537	CAS:76-22-2	Compound
RID00098	CID:25517	CAS:12125-02-9	Compound
RID00099	CID:261501	CAS:886-86-2	Compound
