id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	unit	administered_dose_range	significant_dose_range	trend	measurement	effect
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Hydropic swelling in liver	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Hypertrophy in kidney	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Lamellar fusion in gills	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Lipid peroxidation	Physiology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Loosening of primary gill bar	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Necrosis in gills	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Necrosis in kidney	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Nuclei degeneration in liver	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Vacuolization in kidney	Histology
RID00109	CID:2764	CAS:85721-33-1	Ciprofloxacin	Compound	33382204	In vivo		Cirrhinus mrigala	Fingerling		µg/L	1.0-1.5	1.0-1.5	Increased	Vacuolization in liver	Histology
RID00011	CID:10281	CAS:490-91-5	Thymoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	2.796	2.796	Decreased	Lethal body concentration	Mortality
RID00110	CID:27944	CAS:16595-80-5	Levamisole hydrochloride	Compound	37889686	In vivo		Sebastes schlegelii		Immersion	mg/L	200	200	Decreased	Survival	Mortality
RID00110	CID:27944	CAS:16595-80-5	Levamisole hydrochloride	Compound	37889686	In vivo		Sebastes schlegelii		Injected	mg/L	100.0-200.0	100.0-200.0	Decreased	Survival	Mortality
RID00110	CID:27944	CAS:16595-80-5	Levamisole hydrochloride	Compound	37889686	In vivo		Sebastes schlegelii		Oral	mg/L	100.0-200.0	100.0-200.0	Increased	Alanine transaminase (ALT)	Enzyme(s)
RID00110	CID:27944	CAS:16595-80-5	Levamisole hydrochloride	Compound	37889686	In vivo		Sebastes schlegelii		Oral	mg/L	100.0-200.0	100.0-200.0	Increased	Aspartate aminotransferase	Enzyme(s)
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	26401637	In vivo		Daphnia magna			µg/L	1.18	1.18	Decreased	Acute toxic effect concentration	Physiology
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Sediment treatment	μg/kg	10.0-97.0	10.0-97.0	Decreased	Lethal body concentration	Mortality
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Sediment treatment	μg/kg	3.0-10.0	3.0-10.0	Decreased	Subchronic/Chronic toxic concentration	Mortality
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	µg/L	1.0-5.1	1.0-5.1	Decreased	Lethal body concentration	Mortality
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	µg/L	3	3	Decreased	Smell/Sniff	Behavior
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	µg/L	0.05-1.0	0.3-1.0	Decreased	Subchronic/Chronic toxic concentration	Mortality
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	µg/L	2.0-3.0	2.0-3.0	Decreased	Swimming	Behavior
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0006	0.0006	Altered	Behavioral changes, general	Behavior
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0006	0.0006	Decreased	Hepatosomatic index (HIS)	Physiology
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0002-0.0006	0.0002-0.0006	Decreased	Respiratory rate	Physiology
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0003-0.0006	0.0003-0.0006	Increased	Catalase activity	Enzyme(s)
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0003-0.0006	0.0003-0.0006	Increased	Glutathione peroxidase activity	Enzyme(s)
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0002-0.0006	0.0002-0.0006	Increased	Glutathione reductase (GR) activity	Enzyme(s)
RID00111	CID:2912	CAS:52315-07-8	Cypermethrin	Compound	36030007	In vivo		Cyprinus carpio	Juvenile		µg/L	0.0002-0.0006	0.0002-0.0006	Increased	Lesions	Histology
RID00112	CID:30231	CAS:20702-77-6	Neohesperidin dihydrochalcone	Compound	38522112	In vivo		Carassius auratus			mg/L	25.483	25.483	Decreased	Lethal body concentration	Mortality
RID00113	CID:3039	CAS:62-73-7	Dichlorvos	Compound	13677510	In vivo		Anguilla anguilla	Young	Bath	mg/L	0.17	0.17	Decreased	Glutathione, total	Biochemistry
RID00113	CID:3039	CAS:62-73-7	Dichlorvos	Compound	13677510	In vivo		Anguilla anguilla	Young	Bath	mg/L	0.17	0.17	Decreased	Total glutathione Oxidized glutathione ratio	Biochemistry
RID00113	CID:3039	CAS:62-73-7	Dichlorvos	Compound	13677510	In vivo		Anguilla anguilla	Young	Bath	mg/L	0.17	0.17	Increase	Glutathione disulfide (oxidized glutathione)	Biochemistry
RID00113	CID:3039	CAS:62-73-7	Dichlorvos	Compound	13677510	In vivo		Anguilla anguilla	Young	Bath	mg/L	0.17	0.17	Inhibited	Acetylcholinesterase (AChE) activity	Enzyme(s)
RID00113	CID:3039	CAS:62-73-7	Dichlorvos	Compound	13677510	In vivo		Anguilla anguilla	Young	Bath	mg/L	0.17	0.17	Inhibited	Glutathione reductase (GR) activity	Enzyme(s)
RID00116	CID:3120	CAS:330-54-1	Diuron	Compound	34494197	In vivo		Crassostrea gigas	Embryos		µg/L	1.0-100.0	30.0-100.0	Increased	Abnormal shell	Development
RID00117	CID:3220	CAS:518-82-1	Emodin	Compound	29604998	In vivo		Ctenopharyngodon idella			mg/L	3.15	3.15	Decreased	Lethal body concentration	Mortality
RID00118	CID:323	CAS:91-64-5	Coumarin	Compound	34451443	In vitro	gilthead sea bream Sparus aurata fibroblast; SAF-1	Sparus aurata			μM	1.0-10.0	10	Decreased	Cytotoxicity	Cell(s)
