id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	unit	administered_dose_range	significant_dose_range	trend	measurement	effect
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mL/m³	0.75	0.75	Decreased	Prophenoloxidase activity	Enzyme(s)
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mL/m³	0.75	0.75	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mL/m³	0.75	0.75	Decreased	Survival	Mortality
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mL/m³	0.75	0.75	Decreased	Total hematocyte count	Biochemistry
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mL/m³	0.75	0.75	Increased	Hemocyte Apoptosis	Biochemistry
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	32720097	In vivo		Penaeus vannamei	Juvenile		mg/L	37.9	37.9	Increased	Lethal body concentration	Mortality
RID00145	CID:42611257	CAS:918504-65-1	Vemurafenib	Compound	39992024	In vivo		Carassius auratus			mg/L	10	10	Decreased	Lethal body concentration	Mortality
RID00016	CID:10494	CAS:508-02-1	Oleanolic acid	Compound	39168292	In vivo		Epinephelus coioides	Juvenile	Intraperitoneally injected	mg/kg	200.0-300.0	200.0-300.0	Decreased	Survival	Mortality
RID00167	CID:447043	CAS:83905-01-5	Azithromycin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	3.13-100.0	12.5-100.0	Irregular	Heart rate	Physiology
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	50	50	Decreased	Acetyl-CoA carboxylase 1 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	50	50	Decreased	Acyl-coenzyme A oxidase 1 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Adenosine triphosphate	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Calcium Magnesium adenosine triphosphatase	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Catalase activity	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Cholesterol	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Claudin 3 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Claudin 4 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Claudin 8 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	FAS mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Glucose	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Glucose-6-phosphatase mRNA	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Glycerol-3-phosphate acyltransferase 1 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Glycogen	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Kelch-like ECH-associated protein 1 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	50	50	Decreased	Kelch-like ECH-associated protein 1a mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Kelch-like ECH-associated protein 1b mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Occludin mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Sodium potassium ATPase	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Sterol regulatory element binding protein 1 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	Tight junction protein ZO-2 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	50	50	Decreased	Triglycerides	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	50	50	Decreased	Weight	Growth
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Decreased	ZO3 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Acetyl-CoA synthetase	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Acyl-coenzyme A oxidase 1 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Carnitine palmitoyltransferase 1a, liver mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Catalase activity	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Fat/cd36 mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Glucokinase mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Glucose-6-phosphatase mRNA	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Lactate dehydrogenase	Enzyme(s)
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Lactic acid	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Malondialdehyde	Biochemistry
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	50	50	Increased	Nuclear Factor erythroid 2-related factor mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10.0-50.0	10.0-50.0	Increased	Pyruvate kinase mRNA	Genetics
RID00168	CID:4471	CAS:50-65-7	Niclosamide	Compound	38137017	In vivo		Mylopharyngodon piceus			µg/L	10	10	Increased	Solute carrier family 27 (fatty acid transporter), member 1 mRNA	Genetics
RID00169	CID:4493	CAS:63612-50-0	Nilutamide	Compound	39992024	In vivo		Carassius auratus			mg/L	10	10	Decreased	Lethal body concentration	Mortality
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mg/m³	3	3	Decreased	Prophenoloxidase activity	Enzyme(s)
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mg/m³	3	3	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mg/m³	3	3	Decreased	Survival	Mortality
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mg/m³	3	3	Decreased	Total hematocyte count	Biochemistry
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mg/m³	3	3	Increased	Hemocyte Apoptosis	Biochemistry
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mg/m³	3	3	Decreased	Prophenoloxidase activity	Enzyme(s)
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mg/m³	3	3	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mg/m³	3	3	Decreased	Survival	Mortality
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mg/m³	3	3	Decreased	Total hematocyte count	Biochemistry
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mg/m³	3	3	Increased	Hemocyte Apoptosis	Biochemistry
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mg/m³	3	3	Decreased	Prophenoloxidase activity	Enzyme(s)
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mg/m³	3	3	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mg/m³	3	3	Decreased	Survival	Mortality
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mg/m³	3	3	Decreased	Total hematocyte count	Biochemistry
RID00170	CID:4539	CAS:70458-96-7	Norfloxacin	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + White spot syndrome virus infection	mg/m³	3	3	Increased	Hemocyte Apoptosis	Biochemistry
RID00172	CID:4622	CAS:20559-55-1	Oxibendazole	Compound	39992024	In vivo		Carassius auratus			mg/L	6.872	6.872	Changed	Lethal body concentration	Mortality
RID00174	CID:4650	CAS:106-51-4	1,4-benzoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	0.2975	0.2975	Changed	Lethal body concentration	Mortality
RID00175	CID:479503	CAS:517-89-5	Shikonin	Compound	38522112	In vivo		Carassius auratus			mg/L	1.29	1.29	Changed	Lethal body concentration	Mortality
RID00176	CID:4891	CAS:55268-74-1	Praziquantel	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	14.29	14.29	Changed	Lethal body concentration	Mortality
RID00176	CID:4891	CAS:55268-74-1	Praziquantel	Compound	39992024	In vivo		Carassius auratus			mg/L	10	10	Changed	Lethal body concentration	Mortality
RID00179	CID:50248	CAS:68786-66-3	Triclabendazole	Compound	39992024	In vivo		Carassius auratus			mg/L	1.124	1.124	Changed	Lethal body concentration	Mortality
RID00181	CID:516875	CAS:7722-64-7	Potassium permanganate	Compound	15110333	In vivo		Oncorhynchus mykiss			ppm	4.0-40.0	4.0-40.0	Changed	C-reactive protein	Biochemistry
RID00183	CID:5213	CAS:65666-07-1	Silymarin	Compound	38522112	In vivo		Carassius auratus			mg/L	26.241	26.241	Irregular	Lethal body concentration	Mortality
RID00184	CID:5215	CAS:68-35-9	Sulfadiazine	Compound	22562751	In vivo		Arbacia lixula	Larva		mg/l	12.7	12.7	Irregular	Acute toxic effect concentration	Physiology
RID00184	CID:5215	CAS:68-35-9	Sulfadiazine	Compound	22562751	In vivo		Paracentrotus lividus	Larva		mg/l	59.76	59.76	Irregular	Acute toxic effect concentration	Physiology
RID00019	CID:107793	CAS:20874-52-6	Saikosaponin d (from radix bupleuri)	Compound	25266906	In vivo		Carassius auratus			mg/L	1.54	1.54	Irregular	Lethal body concentration	Mortality
RID00190	CID:5280440	CAS:1401-69-0	Tylosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	3.13-100.0	3.13-100.0	Irregular	Heart rate	Physiology
RID00194	CID:5280723	CAS:745-65-3	Alprostadil	Compound	38522112	In vivo		Carassius auratus			mg/L	30.482	30.482	Decreased	Lethal body concentration	Mortality
RID00002	CID:10101397		Thonningianin B	Compound	38522112	In vivo		Carassius auratus			mg/L	21.543	21.543	Decreased	Lethal body concentration	Mortality
RID00020	CID:11122	CAS:553-97-9	2-methyl-1,4-benzoquinone	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	0.5267	0.5267	Decreased	Lethal body concentration	Mortality
RID00200	CID:5281255	CAS:20784-50-3	Isobavachalcone	Compound	38518713	In vivo		Poecilia reticulata	Larva	Water treatment	mg/L	46.18	46.18	Decreased	Lethal body concentration	Mortality
RID00200	CID:5281255	CAS:20784-50-3	Isobavachalcone	Compound	38518713	In vivo		Poecilia reticulata	Larva	Water treatment	mg/L	18.75-75.0	28.125-75.0	Decreased	Survival	Mortality
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	60	60	Decreased	Hematocrit (anemia)	Biochemistry
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	20.0-60.0	20.0-60.0	Decreased	Hemoglobin	Biochemistry
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	20.0-80.0	80	Decreased	Lethal body concentration	Mortality
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	60	60	Decreased	Mean corpuscular (cell) hemoglobin concentration	Biochemistry
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	40.0-60.0	40.0-60.0	Decreased	Mean corpuscular hemoglobin	Biochemistry
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	60	60	Decreased	Motility	Behavior
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	60	60	Decreased	Red cell distribution width	Biochemistry
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	60	60	Increased	Distance moved, change in direct movement	Behavior
RID00201	CID:5281303	CAS:11141-17-6	Azadirachtin	Compound	25847134	In vivo		Cyprinus carpio			μL/L	60	60	Increased	Movements, number of	Behavior
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Changed	Interferon mRNA	Genetics
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Changed	Interleukin 8 mRNA	Biochemistry
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Changed	Signal transducer and activator of transcription 1 mRNA	Genetics
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Decreased	Caspase-3 mRNA	Genetics
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Decreased	Interleukin-1 beta mRNA	Biochemistry
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Decreased	Toll-like receptor 2 mRNA	Genetics
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Increased	Anti-Melanoma Differentiation-Associated gene 5 (MDA-5) mRNA	Genetics
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Increased	Nuclear factor kappa B mRNA	Genetics
RID00202	CID:5281426	CAS:93-35-6	7-hydroxycoumarin	Compound	39009196	In vivo		Paralichthys olivaceus		Short term feed	mg/kg/day	100	100	Increased	Ubiquitin-like protein ISG15 mRNA	Genetics
RID00205	CID:5281613	CAS:520-27-4	Diosmin	Compound	39992024	In vivo		Carassius auratus			mg/L	10	10	Decreased	Lethal body concentration	Mortality
RID00211	CID:5281806	CAS:18642-23-4	Psoralidin	Compound	26042195	In vivo		Carassius auratus			mg/L	7.0-8.5	7.0-8.5	Decreased	Survival	Mortality
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	2.5-10.0	2.5-10.0	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	40	40	Decreased	Survival	Mortality
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	10.0-40.0	Increased	Apoptosis	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	10.0-40.0	Increased	B-cell lymphoma/leukemia 2-gene mRNA	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	10.0-40.0	Increased	Caspase-3 mRNA	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	10.0-40.0	Increased	Caspase-9 mRNA	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	5.0-20.0	5.0-20.0	Increased	Curvature	Injury
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	0.63-20.0	1.25-20.0	Increased	Edema	Histology
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	2.5-10.0	2.5-10.0	Increased	Malondialdehyde	Biochemistry
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	40	Increased	Ratio of bax mRNA to Bcl-2 mRNA	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10	10	Increased	Reactive oxygen species	Biochemistry
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	10.0-40.0	Increased	bax mRNA	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	10.0-40.0	10.0-40.0	Increased	p53 mRNA	Genetics
RID00214	CID:5282521	CAS:108050-54-0	Tilmicosin	Compound	30308910	In vivo		Danio rerio	Embryos		mg/L	0.31-40.0	0.63-40.0	Irregular	Heart rate	Physiology
RID00217	CID:5318516	CAS:18836-52-7	Pellitorine	Compound	38411855	In vivo		Carassius auratus	Adult		g/L	1.0-5.0	5	Decreased	Survival	Mortality
RID00220	CID:5321010	CAS:28957-04-2	Oridonin	Compound	39848352	In vitro	Grouper spleen (GS) cells				μM	0.1-4.0	4	Decreased	Cell Viability	Cell(s)
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Acetylcholinesterase (AChE) activity	Enzyme(s)
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Apoptosis regulator Bcl-2 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	B cell lymphoma/leukemia 2	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Claudin 1 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Claudin 3 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Glutathione (reduced glutathione)	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Kelch-like ECH-associated protein 1	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Kelch-like ECH-associated protein 1 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Nuclear factor-kappa B	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Occludin	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Occludin mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Sequestosome 1	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Sequestosome 1 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Tight junction protein 1	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Tight junction protein 1 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Decreased	Tight junction protein ZO-2 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	8-hydroxy-2'-deoxyguanosine	Enzyme(s)
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Alpha-induced tumor necrosis factor mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Autophagy protein 5	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Autophagy protein 5 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Bcl-2 associated X protein	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Bcl-2 associated X protein to B cell lymphoma/leukemia 2 ratio	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Beclin-1	Biochemistry
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Beclin-1 mRNA	Genetics
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Caspase 3	Enzyme(s)
RID00222	CID:5329	CAS:723-46-6	Sulfamethoxazole	Compound	35032680	In vivo		Ctenopharyngodon idella		Water treatment	µg/L	0.3	0.3	Increased	Caspase 9	Enzyme(s)
