id	pubchemid	casrn	phenotypeid	phenotypename	interactionactions	organismid	organism	pubmedids
RID00105	CID:2730	CAS:2921-88-2	GO:1903283	negative regulation of glutathione peroxidase activity	Increases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:1903283	negative regulation of glutathione peroxidase activity	Increases phenotype	7955	Danio rerio	30423371
RID00105	CID:2730	CAS:2921-88-2	GO:1903283	negative regulation of glutathione peroxidase activity	Increases phenotype	7962	Cyprinus carpio	28648885
RID00105	CID:2730	CAS:2921-88-2	GO:1901670	negative regulation of superoxide dismutase activity	Increases phenotype	7962	Cyprinus carpio	30176333,28648885
RID00105	CID:2730	CAS:2921-88-2	GO:1903523	negative regulation of blood circulation	Increases phenotype	7955	Danio rerio	28982082
RID00105	CID:2730	CAS:2921-88-2	GO:1904832	negative regulation of removal of superoxide radicals	Increases phenotype	7962	Cyprinus carpio	31310849
RID00105	CID:2730	CAS:2921-88-2	GO:2000252	negative regulation of feeding behavior	Increases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:2000378	negative regulation of reactive oxygen species metabolic process	Increases phenotype	7962	Cyprinus carpio	26662364
RID00105	CID:2730	CAS:2921-88-2	GO:2000469	negative regulation of peroxidase activity	Increases phenotype	7962	Cyprinus carpio	31310849
RID00105	CID:2730	CAS:2921-88-2	GO:2000611	positive regulation of thyroid hormone generation	Increases phenotype	7955	Danio rerio	32738127
RID00105	CID:2730	CAS:2921-88-2	GO:2000844	negative regulation of testosterone secretion	Increases phenotype	13013	Clarias gariepinus	26994807
RID00105	CID:2730	CAS:2921-88-2	GO:1903591	negative regulation of lysozyme activity	Increases phenotype	8128	Oreochromis niloticus	29433082|32371257
RID00105	CID:2730	CAS:2921-88-2	GO:0035188	hatching	Increases phenotype	7955	Danio rerio	26079056
RID00105	CID:2730	CAS:2921-88-2	GO:1901670	negative regulation of superoxide dismutase activity	Increases phenotype	7955	Danio rerio	28407539,30423371,29653490
RID00105	CID:2730	CAS:2921-88-2	GO:1901000	regulation of response to salt stress	Affects phenotype	8022	Oncorhynchus mykiss	29304407
RID00105	CID:2730	CAS:2921-88-2	GO:0051348	negative regulation of transferase activity	Increases phenotype	7955	Danio rerio	26998704
RID00105	CID:2730	CAS:2921-88-2	GO:0051348	negative regulation of transferase activity	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0052689	carboxylic ester hydrolase activity	Decreases phenotype	7955	Danio rerio	26998704
RID00105	CID:2730	CAS:2921-88-2	GO:0052689	carboxylic ester hydrolase activity	Decreases phenotype	8022	Oncorhynchus mykiss	30012402
RID00105	CID:2730	CAS:2921-88-2	GO:0052689	carboxylic ester hydrolase activity	Increases phenotype	7955	Danio rerio	26998704
RID00105	CID:2730	CAS:2921-88-2	GO:0052689	carboxylic ester hydrolase activity	Increases phenotype	8022	Oncorhynchus mykiss	30012402
RID00105	CID:2730	CAS:2921-88-2	GO:1901216	positive regulation of neuron death	Increases phenotype	7962	Cyprinus carpio	28675853
RID00105	CID:2730	CAS:2921-88-2	GO:0060267	positive regulation of respiratory burst	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0070257	positive regulation of mucus secretion	Increases phenotype	7955	Danio rerio	30423371
RID00105	CID:2730	CAS:2921-88-2	GO:0070257	positive regulation of mucus secretion	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0070328	triglyceride homeostasis	Decreases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0070328	triglyceride homeostasis	Decreases phenotype	7955	Danio rerio	31384916
RID00105	CID:2730	CAS:2921-88-2	GO:0072593	reactive oxygen species metabolic process	Affects phenotype	7962	Cyprinus carpio	30881588
RID00105	CID:2730	CAS:2921-88-2	GO:0090326	positive regulation of locomotion involved in locomotory behavior	Affects phenotype	7955	Danio rerio	29499247
RID00105	CID:2730	CAS:2921-88-2	GO:0061061	muscle structure development	Decreases phenotype	7955	Danio rerio	27029555
RID00105	CID:2730	CAS:2921-88-2	GO:0035188	hatching	Decreases phenotype	7955	Danio rerio	29605586,30612050
RID00105	CID:2730	CAS:2921-88-2	GO:0050709	negative regulation of protein secretion	Increases phenotype	8128	Oreochromis niloticus	32470510
RID00105	CID:2730	CAS:2921-88-2	GO:0034440	lipid oxidation	Increases phenotype	7962	Cyprinus carpio	30176333,28648885
RID00105	CID:2730	CAS:2921-88-2	GO:0004602	glutathione peroxidase activity	Decreases phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0004784	superoxide dismutase activity	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0004784	superoxide dismutase activity	Increases phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0005977	glycogen metabolic process	Decreases phenotype	8030	Salmo salar	31536758
RID00105	CID:2730	CAS:2921-88-2	GO:0006006	glucose metabolic process	Decreases phenotype	8030	Salmo salar	31536758
RID00105	CID:2730	CAS:2921-88-2	GO:0006304	DNA modification	Increases phenotype	7962	Cyprinus carpio	28675853
RID00105	CID:2730	CAS:2921-88-2	GO:0004602	glutathione peroxidase activity	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0006631	fatty acid metabolic process	Affects phenotype	8022	Oncorhynchus mykiss	31359069
RID00105	CID:2730	CAS:2921-88-2	GO:0006640	monoacylglycerol biosynthetic process	Increases phenotype	8030	Salmo salar	31536758
RID00105	CID:2730	CAS:2921-88-2	GO:0006644	phospholipid metabolic process	Affects phenotype	8022	Oncorhynchus mykiss	31359069
RID00105	CID:2730	CAS:2921-88-2	GO:0006749	glutathione metabolic process	Increases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0006749	glutathione metabolic process	Increases phenotype	7955	Danio rerio	30423371
RID00105	CID:2730	CAS:2921-88-2	GO:0006749	glutathione metabolic process	Increases phenotype	7962	Cyprinus carpio	30176333
RID00105	CID:2730	CAS:2921-88-2	GO:0006749	glutathione metabolic process	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0006636	unsaturated fatty acid biosynthetic process	Decreases phenotype	8030	Salmo salar	31536758
RID00105	CID:2730	CAS:2921-88-2	GO:0004364	glutathione transferase activity	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0004364	glutathione transferase activity	Increases phenotype	8022	Oncorhynchus mykiss	30012402
RID00105	CID:2730	CAS:2921-88-2	GO:0004364	glutathione transferase activity	Increases phenotype	7955	Danio rerio	26998704
RID00105	CID:2730	CAS:2921-88-2	GO:0001776	leukocyte homeostasis	Decreases phenotype	8128	Oreochromis niloticus	32371257|32470510
RID00105	CID:2730	CAS:2921-88-2	GO:0001780	neutrophil homeostasis	Decreases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0001780	neutrophil homeostasis	Decreases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0002164	larval development	Decreases phenotype	7955	Danio rerio	30612050
RID00105	CID:2730	CAS:2921-88-2	GO:0002176	male germ cell proliferation	Increases phenotype	7955	Danio rerio	34571837
RID00105	CID:2730	CAS:2921-88-2	GO:0034440	lipid oxidation	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0002260	lymphocyte homeostasis	Decreases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0002693	positive regulation of cellular extravasation	Increases phenotype	7962	Cyprinus carpio	28675853
RID00105	CID:2730	CAS:2921-88-2	GO:0002693	positive regulation of cellular extravasation	Increases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0003993	acid phosphatase activity	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0004035	alkaline phosphatase activity	Affects phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0004035	alkaline phosphatase activity	Decreases phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0004364	glutathione transferase activity	Affects phenotype	7955	Danio rerio	26998704
RID00105	CID:2730	CAS:2921-88-2	GO:0004364	glutathione transferase activity	Decreases phenotype	7955	Danio rerio	26998704
RID00105	CID:2730	CAS:2921-88-2	GO:0004364	glutathione transferase activity	Decreases phenotype	8128	Oreochromis niloticus	29433082
RID00105	CID:2730	CAS:2921-88-2	GO:0006750	glutathione biosynthetic process	Decreases phenotype	8030	Salmo salar	31536758
RID00105	CID:2730	CAS:2921-88-2	GO:0006954	inflammatory response	Increases phenotype	27706	Micropterus salmoides	33848913
RID00105	CID:2730	CAS:2921-88-2	GO:0002260	lymphocyte homeostasis	Decreases phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0007635	chemosensory behavior	Affects phenotype	7955	Danio rerio	29499247
RID00105	CID:2730	CAS:2921-88-2	GO:0020027	hemoglobin metabolic process	Affects phenotype	13013	Clarias gariepinus	32500495
RID00105	CID:2730	CAS:2921-88-2	GO:0020027	hemoglobin metabolic process	Affects phenotype	8128	Oreochromis niloticus	32371257|32470510
RID00105	CID:2730	CAS:2921-88-2	GO:0030262	apoptotic nuclear changes	Increases phenotype	8128	Oreochromis niloticus	29433082
