id	pubchemid	casrn	predicted_melting_point	experimental_melting_point	predicted_water_solubility_wskow	experimental_water_solubility	qsar_class	organism	duration	endpoint	concentration
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Phenols	Green Algae (SW)	96-hr	LC50	1194089.5
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Phenols	Lemna gibba	7-day	EC50	18826.384765625
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Propargyl Ketones	Fish	96-hr	LC50	6871.427734375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Propargyl Ketones	Daphnid	48-hr	LC50	4786.267578125
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Propargyl Ketones	Green Algae	96-hr	EC50	29314.130859375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Propargyl Ketones	Fish (SW)	96-hr	LC50	9415794
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Propargyl Ketones	Mysid (SW)	96-hr	LC50	346223.84375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Benzyl Alcohols	Fish	96-hr	LC50	50136.8359375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Benzyl Alcohols	Daphnid	48-hr	LC50	31750.240234375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Benzyl Alcohols	Green Algae	96-hr	EC50	4533.01318359375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Acrylamides	Fish	96-hr	LC50	472.6689147949219
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Acrylamides	Daphnid	48-hr	LC50	1168.952880859375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Acrylamides	Green Algae	96-hr	EC50	2.703690767288208
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Acrylamides	Fish (SW)	96-hr	LC50	828.8711547851562
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Acrylamides	Mysid (SW)	96-hr	LC50	577.613037109375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Alcohols	Fish	96-hr	LC50	61.02348327636719
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Alcohols	Daphnid	48-hr	LC50	223.44830322265625
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Vinyl/Allyl Alcohols	Green Algae	96-hr	EC50	9.992108345031738
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Ketone alcohols	Fish	96-hr	LC50	2274.086669921875
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Ketone alcohols	Daphnid	48-hr	LC50	944.3587036132812
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Ketone alcohols	Green Algae	96-hr	EC50	185.50985717773438
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Phenol Amines 	Fish	96-hr	LC50	152.064208984375
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Phenol Amines 	Daphnid	48-hr	LC50	4.519568920135498
RID00230	CID:54675779	CAS:79-57-2	344.1685485839844		1398.7598876953125	313	Phenol Amines 	Green Algae	96-hr	EC50	17.405519485473633
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Neutral Organics	Fish	96-hr	LC50	5.032705307006836
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Neutral Organics	Daphnid	48-hr	LC50	3.3003323078155518
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Neutral Organics	Green Algae	96-hr	EC50	4.4596991539001465
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Neutral Organics	Fish (SW)	96-hr	LC50	6.395252227783203
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Neutral Organics	Mysid	96-hr	LC50	1.6519827842712402
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Vinyl/Allyl Alcohols	Fish	96-hr	LC50	1.0317856073379517
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Vinyl/Allyl Alcohols	Daphnid	48-hr	LC50	2.2562005519866943
RID00262	CID:637566	CAS:106-24-1	-10.776336669921875		214.30169677734375	100	Vinyl/Allyl Alcohols	Green Algae	96-hr	EC50	0.04806683957576752
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Neutral Organics	Fish	96-hr	LC50	432.7240905761719
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Neutral Organics	Daphnid	48-hr	LC50	232.03260803222656
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Neutral Organics	Green Algae	96-hr	EC50	136.41212463378906
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Neutral Organics	Fish (SW)	96-hr	LC50	542.7490234375
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Neutral Organics	Mysid	96-hr	LC50	613.9075927734375
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ketones	Fish	96-hr	LC50	133.35675048828125
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ketones	Daphnid	48-hr	LC50	89.30278778076172
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ketones	Green Algae	96-hr	EC50	239.62322998046875
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ketones	Fish (SW)	96-hr	LC50	5994.77783203125
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ketones	Mysid (SW)	96-hr	LC50	321.6866149902344
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ethers	Fish	96-hr	LC50	41.662471771240234
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ethers	Daphnid	48-hr	LC50	141.95181274414062
RID00012	CID:10286	CAS:491-38-3	54.96539306640625		5227.8251953125		Vinyl/Allyl Propargyl Ethers	Green Algae	96-hr	EC50	110.16890716552734
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Aliphatic Amines	Fish	96-hr	LC50	17.095569610595703
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Aliphatic Amines	Daphnid	48-hr	LC50	2.2657618522644043
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Aliphatic Amines	Green Algae	96-hr	EC50	1.5158478021621704
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Neutral Organics	Fish	96-hr	LC50	44.077919006347656
RID00071	CID:197810	CAS:476-32-4	206.4908447265625		196.43939208984375		Neutral Organics	Daphnid	48-hr	LC50	27.22526741027832
