id	pubchemid	casrn	geneforms	geneid	genesymbol	interactionactions	organismid	organism	pubmedids
RID00104	CID:2726	CAS:50-53-3	mRNA	561287	F13A1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	560591	ATAD5A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	559054	HMGCRA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564067	ABCB6A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564159	ANKRD1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	568707	AFP4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	56895	AGPAT4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	569298	CTSBB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	569329	FLVCR2B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	569620	MGAA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	56990	CDC42SE2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	568265	ATP2A2B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	570409	TMEFF1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57085	AGTRAP	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	571	BACH1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	571219	STOML3A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57198	ATP8B2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	572114	CYP2AE1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	572492	PLD1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57082	KNL1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564107	CYP2K21	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	568001	PFKMB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	567611	ITPR1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564166	TXLNBB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564413	HIPK3A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564474	SLC1A8B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564849	SLC2A11L	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	564970	SLC2A11B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	565335	SLC25A15B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	567956	LPAR2B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	565379	PHKG1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	565844	RHOBTB2B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	565911	MYLIPB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	567253	ATF5B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	567306	NAPAA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	567375	PPP1R3DB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	567528	SID4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	565535	MEP1A.2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	573111	TPMT.2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55902	ACSS2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5589	PRKCSH	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5256	PHKA2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5313	PKLR	Decreases expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	541382	SHISA9A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	541423	SMYD2A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	541442	KCTD9A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54221	SNTG2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5252	PHF1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54463	RETREG1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54585	LZTFL1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54676	GTPBP2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54716	SLC6A20	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	548593	SLX1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54908	SPDL1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54960	GEMIN8	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	54538	ROBO4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55023	PHIP	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5226	PGD	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5193	PEX12	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51005	AMDHD2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51012	PRELID3B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5105	PCK1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51077	FCF1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51129	ANGPTL4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51188	SS18L2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5209	PFKFB3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51205	ACP6	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51379	CRLF3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51409	HEMK1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5145	PDE6A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51493	RTCB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5166	PDK4	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	51669	SARAF	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	513	ATP5F1D	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	558924	ABCA1A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	550603	MHC1LAA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	552924	SLC2A15B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	555251	INAA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	555297	STK24A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	555334	ITLN3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	555467	SPECC1LB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	555510	CYP2AA12	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	556024	MOV10B.1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5552	SRGN	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55643	BTBD2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	557565	NRD1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	558146	SLC60A1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	558154	VEGFAB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55841	WWC3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	558461	ELNB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	558687	CAX2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	557269	NHERF4A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55153	SDAD1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	555196	CA4A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	554200	NSFB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	552944	LRRC30A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	553	AVPR1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55300	PI4K2B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	553256	SLC6A19A.1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55326	AGPAT5	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55344	PLCXD1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	55503	TRPV6	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	553530	MEP1A.1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	553729	DBNLB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	553770	PCYT1AB	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	554046	PHKG1B	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	554095	FABP1B.1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	554101	COX5AA	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	554103	COX7A2A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	553537	CYP2AA11	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5052	PRDX1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	5745	PTH1R	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	57586	SYT13	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	815	CAMK2A	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	83440	ADPGK	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	83667	SESN2	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	83695	RHNO1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	84173	ELMOD3	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8424	BBOX1	Affects expression	7955	Danio rerio	25064622
RID00104	CID:2726	CAS:50-53-3	mRNA	8131	NPRL3	Affects expression	7955	Danio rerio	25064622
