id	pubchemid	casrn	aquaculture_predator_species	prey_species	bcf_value
RID00105	CID:2730	CAS:2921-88-2	Anguilla anguilla	Gammarus pulex	22255.672567254984
RID00105	CID:2730	CAS:2921-88-2	Anguilla anguilla	Cyprinus carpio	418.4814226051592
RID00105	CID:2730	CAS:2921-88-2	Anguilla anguilla	Cloeon dipterum	6634.275996670621
RID00105	CID:2730	CAS:2921-88-2	Anguilla anguilla	Carassius auratus	446.43050055948584
RID00105	CID:2730	CAS:2921-88-2	Anguilla anguilla	Asellus aquaticus	2956.873605623816
RID00105	CID:2730	CAS:2921-88-2	Micropterus salmoides	Menidia beryllina	186.1674846247054
RID00105	CID:2730	CAS:2921-88-2	Anguilla anguilla	Notonecta maculata	2084.790876802755
RID00105	CID:2730	CAS:2921-88-2	Cyprinus carpio	Cloeon dipterum	6634.275996670621
RID00105	CID:2730	CAS:2921-88-2	Acipenser ruthenus	Trichoptera	40.20000000000001
RID00105	CID:2730	CAS:2921-88-2	Cyprinus carpio	Gammarus pulex	22255.672567254984
RID00105	CID:2730	CAS:2921-88-2	Cyprinus carpio	Cyprinus carpio	418.4814226051592
RID00105	CID:2730	CAS:2921-88-2	Micropterus salmoides	Gasterosteus aculeatus	20761.72045948244
RID00105	CID:2730	CAS:2921-88-2	Micropterus salmoides	Gammarus pulex	22255.672567254984
RID00105	CID:2730	CAS:2921-88-2	Micropterus salmoides	Gambusia affinis	0.197
RID00105	CID:2730	CAS:2921-88-2	Micropterus salmoides	Cyprinus carpio	418.4814226051592
RID00105	CID:2730	CAS:2921-88-2	Micropterus salmoides	Carassius auratus	446.43050055948584
RID00105	CID:2730	CAS:2921-88-2	Lepomis macrochirus	Trichoptera	40.20000000000001
RID00105	CID:2730	CAS:2921-88-2	Lepomis macrochirus	Cyprinus carpio	418.4814226051592
RID00105	CID:2730	CAS:2921-88-2	Lates calcarifer	Cyprinus carpio	418.4814226051592
RID00105	CID:2730	CAS:2921-88-2	Lepomis macrochirus	Carassius auratus	446.43050055948584
RID00105	CID:2730	CAS:2921-88-2	Ictalurus punctatus	Lepomis macrochirus	480.69314218359807
RID00105	CID:2730	CAS:2921-88-2	Ictalurus punctatus	Cyprinus carpio	418.4814226051592
RID00105	CID:2730	CAS:2921-88-2	Homarus americanus	Mytilus edulis	354.2232854857071
RID00105	CID:2730	CAS:2921-88-2	Gadus morhua	Mytilus edulis	354.2232854857071
RID00105	CID:2730	CAS:2921-88-2	Gadus morhua	Gasterosteus aculeatus	20761.72045948244
RID00105	CID:2730	CAS:2921-88-2	Danio rerio	Daphnia magna	5574.353505116084
RID00105	CID:2730	CAS:2921-88-2	Cyprinus carpio	Trichoptera	40.20000000000001
RID00105	CID:2730	CAS:2921-88-2	Cyprinus carpio	Notonecta maculata	2084.790876802755
RID00105	CID:2730	CAS:2921-88-2	Ictalurus punctatus	Pimephales promelas	2321.2112802983984
RID00111	CID:2912	CAS:52315-07-8	Oncorhynchus mykiss	Salmo salar	4.561352502579926
