"Unit"	"Converted value equivalent in PPM"	"Comment"	"Conversion to ppm"	"Covered in old units"
"mg/org/d"			"no"	"Yes"
"um"			"no"	"Yes"
"AI L/ha"			"no"	"Yes"
"mg/cntr"			"no"	"Yes"
"pCi/g"			"no"	"Yes"
"lb/1000 ft2"			"no"	"Yes"
"nCi/L"			"no"	"Yes"
"uCi/g soil"			"no"	"Yes"
"g bt"			"no"	"Yes"
"U of fl"			"no"	"Yes"
"g/ha"			"no"	"Yes"
"uCi/kg"			"no"	"Yes"
"uM/kg"			"no"	"Yes"
"L/ha"			"no"	"Yes"
"ml/kg bdwt"			"no"	"Yes"
"u-atoms/egg"			"no"	"Yes"
"N"		"requires valence value or number of ions released per mol"	"no"	"Yes"
"g/d/org"			"no"	"Yes"
"Bq/g"			"no"	"Yes"
"AI kg/ha"			"no"	"Yes"
"ng/eu"			"no"	"Yes"
"Bq/ml"			"no"	"Yes"
"mCi/kg"			"no"	"Yes"
"mg/egg"			"no"	"Yes"
"pg/cell"			"no"	"Yes"
"g/org"			"no"	"Yes"
"fg/org"			"no"	"Yes"
"kg/mi2/mo"			"no"	"Yes"
"g/fish"			"no"	"Yes"
"ng/fish"			"no"	"Yes"
"AI g/ha"			"no"	"Yes"
"ppm/eu"			"no"	"Yes"
"g diet"			"no"	"Yes"
"Ci/L"			"no"	"Yes"
"mCi mg"			"no"	"Yes"
"uM/100 g"			"no"	"Yes"
"pmol"			"no"	"Yes"
"uBq"			"no"	"Yes"
"g/0.4 ha"			"no"	"Yes"
"g/ml/100 L"			"no"	"Yes"
		"Considered to deal with empty strings"	"no"	"Yes"
"ul/d"		"volume only"	"no"	"Yes"
"ai lb/ha"		"ha is unit of area"	"no"	"Yes"
"uMd"			"no"	"Yes"
"mCi/mmol"		"Ci is unit of radiation"	"no"	"Yes"
"ae g/ha"		"volume/area"	"no"	"Yes"
"units/ml"			"no"	"Yes"
"AI g/hm2"		"volume/area"	"no"	"Yes"
"dpm/800 g soil"		"dpm is disintegrations per minute"	"no"	"Yes"
"ml/in2"		"volume/area"	"no"	"Yes"
"AI lb/100 ft2"		"weight/area"	"no"	"Yes"
"ae ug/org/d"		"mass"	"no"	"Yes"
"ug/org dry wt"		"mass"	"no"	"Yes"
