"Unit"	"Converted value equivalent in PPM"	"Comment"	"Conversion to ppm"	"Covered in old units"
"mmol/ g diet"	"1000MW"		"yes"	"Yes"
"kmol/m3"	"1000MW"		"yes"	"Yes"
"g/250 L"	"4"		"yes"	"Yes"
"ng/g wet wt"	"0.001"		"yes"	"Yes"
"ug/ml diet"	"1"		"yes"	"Yes"
"nmol/g TI"	"1MW"		"yes"	"Yes"
"ug-atoms/L"	"0.001"	"atoms is confusing"	"yes"	"Yes"
"g/dm3"	"1000"		"yes"	"Yes"
"mg/kg wt"	"1"		"yes"	"Yes"
"mg/100 lb/d"	"0.02204"	"1lb=0.4535924kg"	"yes"	"Yes"
"mg/ml diet"	"1000"		"yes"	"Yes"
"ug/100 g org/d"	"0.01"		"yes"	"Yes"
"umol/g diet"	"1MW"		"yes"	"Yes"
"mg/L media"	"1"		"yes"	"Yes"
"mol/kg bdwt"	"1000MW"		"yes"	"Yes"
"ug/kg/d"	"0.001"		"yes"	"Yes"
"mg/kg wet wt"	"1"		"yes"	"Yes"
"mg/L/d"	"1"		"yes"	"Yes"
"ug/100 g bdwt"	"0.01"		"yes"	"Yes"
"ug/g bdwt/d"	"1"		"yes"	"Yes"
"g/ug"	"1000000000000000"		"yes"	"Yes"
"ppmw"	"1"	"w stands for weight"	"yes"	"Yes"
"AI mg/kg soil"	"1"		"yes"	"Yes"
"lb/5 gal"	"119.826428"	"1lb/gal=599.13214 from previous conversion"	"yes"	"Yes"
"ug/kg diet"	"0.001"		"yes"	"Yes"
"% wght"	"10000"		"yes"	"Yes"
"g/kg soil"	"1000"		"yes"	"Yes"
"AI g/hl"	"10"	"1 hectolitre =100L"	"yes"	"Yes"
"mmol/dm3"	"1MW"		"yes"	"Yes"
"AI mg/kg diet"	"1"		"yes"	"Yes"
"ng/g diet"	"0.001"		"yes"	"Yes"
"mg/100 kg bdwt"	"0.01"		"yes"	"Yes"
"mg/60 ml"	"16.666667"		"yes"	"Yes"
"ppmw diet"	"1"		"yes"	"Yes"
"ug/100 g/d"	"0.00001"		"yes"	"Yes"
"mg/kg litter"	"1"		"yes"	"Yes"
"g/100 ml"	"10000"		"yes"	"Yes"
"% dry wght"	"10000"		"yes"	"Yes"
"umol/kg org"	"0.001MW"		"yes"	"Yes"
"lb/100 gal"	"5.99132"	"1lb/gal=599.13214"	"yes"	"Yes"
"g/kg bdwt/d"	"1000"		"yes"	"Yes"
"mg/L diet"	"1"		"yes"	"Yes"
"ug/g wet wt diet"	"0.001"		"yes"	"Yes"
"mg/L/h"	"1"		"yes"	"Yes"
"g/100 L"	"10"		"yes"	"Yes"
"AI mg/kg bdwt"	"1"		"yes"	"Yes"
"umol/100 g"	"0.01MW"		"yes"	"Yes"
"AI ug/ml"	"1"		"yes"	"Yes"
"mmol/kg dry diet/d"	"1MW"		"yes"	"Yes"
"mg/dm3"	"1"		"yes"	"Yes"
"kg/m3"	"1000"		"yes"	"Yes"
"umol/kg/d"	"0.001MW"		"yes"	"Yes"
"ug/g dry diet"	"1"		"yes"	"Yes"
"ug/g TI"	"1"		"yes"	"Yes"
"g%"	"10000"		"yes"	"Yes"
"ug/dm3"	"0.001"		"yes"	"Yes"
"mg/g diet"	"0.001"		"yes"	"Yes"
"kg/hL"	"10000"		"yes"	"Yes"
"ppm/org"	"1"		"yes"	"Yes"
"pmol/mg"	"0.001MW"		"yes"	"Yes"
"mg/kg wt/d"	"1"		"yes"	"Yes"
"ai g/L"	"1000"		"yes"	"Yes"
"nmol/g wet wt"	"0.001MW"		"yes"	"Yes"
"mg/100 g"	"10"		"yes"	"Yes"
"ug/100 ml"	"0.01"		"yes"	"Yes"
"ng/g wet wt diet"	"0.001"		"yes"	"Yes"
"mg/10 ml"	"100"		"yes"	"Yes"
"mg/kg wet diet"	"1"		"yes"	"Yes"
"AI g/100 kg sd"	"10"		"yes"	"Yes"
"AI kg/100 L"	"10000"		"yes"	"Yes"
"mg/kg wet wt media"	"1"		"yes"	"Yes"
"ug/mg"	"1000"		"yes"	"Yes"
"AI % diet"	"10000"		"yes"	"Yes"
"lbs/50 gal"	"11.98264"		"yes"	"Yes"
"umol/g org"	"1MW"		"yes"	"Yes"
"ug/g/d"	"1"		"yes"	"Yes"
"ug/kg bdwt"	"0.001"		"yes"	"Yes"
"mg/100 kg org"	"0.01"		"yes"	"Yes"
"molal"	"0.001MW"		"yes"	"Yes"
"ug/g wet bdwt"	"1"		"yes"	"Yes"
"mg/3 kg"	"0.333333"		"yes"	"Yes"
"umol/g soil"	"1MW"		"yes"	"Yes"
"AI g/100 L"	"10"		"yes"	"Yes"
"pM"	"0.000000001MW"		"yes"	"Yes"
"mg/kg dry diet"	"1"		"yes"	"Yes"
"ug/500 g"	"0.002"		"yes"	"Yes"
"g/m3"	"1"		"yes"	"Yes"
"mg/10 g diet"	"100"		"yes"	"Yes"
"g/cc"	"1000000"		"yes"	"Yes"
"mg/mg bdwt"	"1000000"		"yes"	"Yes"
"ppm dw diet"	"1"		"yes"	"Yes"
"mg/d/100 lbs"	"0.02205"		"yes"	"Yes"
"mol/dm3"	"1000MW"		"yes"	"Yes"
"ai mg/kg org"	"1"		"yes"	"Yes"
"ug/g dry diet/d"	"1"		"yes"	"Yes"
"ppm dry wt"	"1"		"yes"	"Yes"
"ug/kg bdwt/d"	"0.001"		"yes"	"Yes"
"g/7 kg"	"142.85714"		"yes"	"Yes"
"% g"	"10000"		"yes"	"Yes"
"umol/g dry wt diet"	"1MW"		"yes"	"Yes"
"ml/m3"		"numerator is volume"	"no"	"Yes"
"nmol/g dry wt"	"0.001MW"		"yes"	"Yes"
"AI ppm diet"	"1"		"yes"	"Yes"
"ug/kg soil"	"0.001"		"yes"	"Yes"
"ug/g diet"	"1"		"yes"	"Yes"
"mg/100 g bw"	"10"		"yes"	"Yes"
"ng/g dry diet"	"0.001"		"yes"	"Yes"
"AI mg/kg"	"1"		"yes"	"Yes"
"umol/ml"	"0.000001MW"		"yes"	"Yes"
"ug/ml soil"	"1"		"yes"	"Yes"
"ppm-hour"	"1"		"yes"	"Yes"
"ppb dry wt"	"0.001"		"yes"	"Yes"
"g/100 g sd"	"10000"		"yes"	"Yes"
"mmol/kg/d"	"1MW"		"yes"	"Yes"
"g/kg*e0.75 bdwt"			"no"	"Yes"
"ug/kg org"	"0.001"		"yes"	"Yes"
"umoles/l agar"			"no"	"Yes"
"ml/100 L H2O/25kg sd"			"no"	"Yes"
"ai g/kg sd"	"1000"		"yes"	"Yes"
"kg/ton tubers"			"no"	"Yes"
"AI ng/L"	"0.000001"		"yes"	"Yes"
"ng/g soil"	"0.001"		"yes"	"Yes"
"ng/kg"	"0.000001"		"yes"	"Yes"
"g/100 kg sd"	"10"		"yes"	"Yes"
"ae mg/L"	"1"		"yes"	"Yes"
"ng/ul diet"	"1"		"yes"	"Yes"
"ng/g egg"	"0.001"		"yes"	"Yes"
"g/10 L"	"100"		"yes"	"Yes"
"ng/nl"	"0.001"		"yes"	"Yes"
"kg/L"	"1000000"		"yes"	"Yes"
"ug/L/d"	"0.001"		"yes"	"Yes"
"g/L H2O"	"0.001"		"yes"	"Yes"
"lb/40 gal"	"14.9783035"		"yes"	"Yes"
"g/10 kg diet"	"0.01"		"yes"	"Yes"
"ug/100 ul/org"	"10"		"yes"	"Yes"
"AI g/m3"	"1"		"yes"	"Yes"
"ug/g LD wt"	"1"		"yes"	"Yes"
"ug/300 g bdwt"	"0.0033333333"		"yes"	"Yes"
"g/1000 g"	"0.001"		"yes"	"Yes"
"nmol/g bw"	"0.001MW"		"yes"	"Yes"
"g/100 g diet"	"10000"		"yes"	"Yes"
"ae mg/kg dry soil"	"1"		"yes"	"Yes"
"% bt"	"10000"		"yes"	"Yes"
"ae uM"	"0.001MW"		"yes"	"Yes"
"AI ug/kg bdwt/d"	"0.001"		"yes"	"Yes"
"AI g/300 L"	"3.333333333"		"yes"	"Yes"
"AI mg/kg bdwt EU"	"1"		"yes"	"Yes"
"ng/g dw soil"	"0.001"		"yes"	"Yes"
"umol/kg/mi"	"0.001MW"		"yes"	"Yes"
"ug/0.2 ml diet"	"5"		"yes"	"Yes"
"g/ton"	"1"		"yes"	"Yes"
"g/200 kg sd"	"5"		"yes"	"Yes"
"AI ppb"	"0.001"		"yes"	"Yes"
"AI ug/g diet"	"1"		"yes"	"Yes"
"g/1.6 kg soil"	"0.625"		"yes"	"Yes"
"ppb diet"	"0.001"		"yes"	"Yes"
"mM diet"	"1MW"		"yes"	"Yes"
"g/l/eu"	"0.001"		"yes"	"Yes"
"mg/100 g/d"	"10"		"yes"	"Yes"
"oz/3 gal"	"0.0000000025"	"1gal=3.785412L and 1oz=0.0283495kg and 1oz/gal=0.00000000749"	"yes"	"Yes"
"ng/mg"	"1"		"yes"	"Yes"
"mg/100 g org"	"10"		"yes"	"Yes"
"mg/100 g soil"	"10"		"yes"	"Yes"
"g/27 kg sd"	"37.03703704"		"yes"	"Yes"
"pmol/g egg"	"0.000001MW"		"yes"	"Yes"
"% AE"	"10000"		"yes"	"Yes"
"% w/w"	"10000"		"yes"	"Yes"
"uM diet"	"0.001MW"		"yes"	"Yes"
"% of bdwt"	"10000"		"yes"	"Yes"
"% org"	"10000"		"yes"	"Yes"
"AI ug/g eu"	"1"		"yes"	"Yes"
"AI ug/g dry soil"	"1"		"yes"	"Yes"
"AI ug/g soil"	"1"		"yes"	"Yes"
"AI ug/g org"	"1"		"yes"	"Yes"
"ng/mg bdwt"	"1"		"yes"	"Yes"
"% w/w diet"	"10000"		"yes"	"Yes"
"AI mM"	"1MW"		"yes"	"Yes"
"% sat"	"10000"		"yes"	"Yes"
"umol/kg LD"	"0.001MW"		"yes"	"Yes"
"AI % v/v"	"10000"		"yes"	"Yes"
"ug/g lipid diet"	"1"		"yes"	"Yes"
"% vol"	"10000"		"yes"	"Yes"
"AI % w/w"	"10000"		"yes"	"Yes"
"% DT"	"10000"		"yes"	"Yes"
"AI uM"	"0.001MW"		"yes"	"Yes"
"ug/g wet wt"	"1"		"yes"	"Yes"
"oz/20 gal/acre"	"4E-10"		"yes"	"Yes"
"fl oz/50 gal/acre"	"1E-10"		"yes"	"Yes"
"fl oz/10 gal"	"7E-10"		"yes"	"Yes"
"% WSF"	"10000"		"yes"	"Yes"
"AI % w/w bt"	"10000"		"yes"	"Yes"
"oz/60 gal/acre"	"1E-10"		"yes"	"Yes"
"AI ng/mg bdwt"	"1"		"yes"	"Yes"
"ug/g pellet"	"1"		"yes"	"Yes"
"oz/gal"	"0.00000000749"		"yes"	"Yes"
"% m/v diet"	"10000"		"yes"	"Yes"
"ug/g bdwt/wk"	"1"		"yes"	"Yes"
"AI ug/g dry diet"	"1"		"yes"	"Yes"
"AI oz/gal"	"0.00000000749"		"yes"	"Yes"
"% m"	"10000"		"yes"	"Yes"
"% v/v diet"	"10000"		"yes"	"Yes"
"ng/mg diet"	"1"		"yes"	"Yes"
"umol/kg media"	"0.001MW"		"yes"	"Yes"
"umol/kg soil"	"0.001MW"		"yes"	"Yes"
"% g/g"	"10000"		"yes"	"Yes"
"AI ug/g egg"	"1"		"yes"	"Yes"
"oz/100 gal"	"1E-10"		"yes"	"Yes"
"AI % w/v"	"10000"		"yes"	"Yes"
"umol/kg egg"	"0.001MW"		"yes"	"Yes"
"ug/g sd"	"1"		"yes"	"Yes"
"AI % bt"	"10000"		"yes"	"Yes"
"fl oz/100 gal"	"1E-10"		"yes"	"Yes"
"AI ug/g"	"1"		"yes"	"Yes"
"AI oz/40 gal"	"2E-10"		"yes"	"Yes"
"umol/kg wet bdwt"	"0.001MW"		"yes"	"Yes"
"ug/g wet wt TI"	"1"		"yes"	"Yes"
"AI umol/kg dry soil"	"0.001MW"		"yes"	"Yes"
"ug/g org/d"	"1"		"yes"	"Yes"
"% v/w"	"10000"		"yes"	"Yes"
"ug/g/wk"	"1"		"yes"	"Yes"
"AI ug/g bdwt"	"1"		"yes"	"Yes"
"% soln"	"10000"		"yes"	"Yes"
"mmol/L soil"	"1MW"		"yes"	"Yes"
"g/10 L soil"	"0.001"		"yes"	"Yes"
"mmol/g dry wt"	"1000MW"		"yes"	"Yes"
"mg/10 L"	"0.1"		"yes"	"Yes"
"mg/mg"	"1000000"		"yes"	"Yes"
"mmol/kg dry bdwt/d"	"1MW"		"yes"	"Yes"
"mg/3 L soil"	"0.333333"		"yes"	"Yes"
"mg/10 g bdwt"	"100"		"yes"	"Yes"
"ng/ml diet"	"0.001"		"yes"	"Yes"
"mg/dl"	"10"		"yes"	"Yes"
"ug/50 ul"	"20"		"yes"	"Yes"
"g/800 ml"	"0.00125"		"yes"	"Yes"
"AI kg/3741 L/ha"	"267.3082064"		"yes"	"Yes"
"mol/g"	"1000000MW"		"yes"	"Yes"
"mg/60 g egg"	"16.66666667"		"yes"	"Yes"
"mg/g wet wt diet"	"1000"		"yes"	"Yes"
"mg/m3"	"0.001"		"yes"	"Yes"
"AI ug/kg soil"	"0.001"		"yes"	"Yes"
"AI ug/ul"	"0.001"		"yes"	"Yes"
"mmol/g"	"1000MW"		"yes"	"Yes"
"mol/g soil"	"1000000MW"		"yes"	"Yes"
"AI ng/mL"	"0.001"		"yes"	"Yes"
"AI ug/ul diet"	"0.001"		"yes"	"Yes"
"mM/kg"			"no"	"Yes"
"umol/g LD"	"1MW"		"yes"	"Yes"
"mmol/kg bdwt/d"	"1MW"		"yes"	"Yes"
"AI ug/kg dry soil"	"0.001"		"yes"	"Yes"
"ug/kg dry soil"	"0.001"		"yes"	"Yes"
"ug/kg egg"	"0.001"		"yes"	"Yes"
"mmol/kg egg"	"1MW"		"yes"	"Yes"
"ug/kg dry wt org"	"0.001"		"yes"	"Yes"
"mmol/kg diet"	"1MW"		"yes"	"Yes"
"nmol/g lipid"	"0.001MW"		"yes"	"Yes"
"AI ug/kg diet"	"0.001"		"yes"	"Yes"
"ng/ml blood/d"	"0.001"		"yes"	"Yes"
"umol/g wet wt"	"1MW"		"yes"	"Yes"
"ug/kg/wk"	"0.001"		"yes"	"Yes"
"nmol/g org"	"0.001MW"		"yes"	"Yes"
"ug/ul diet"	"0.001"		"yes"	"Yes"
"ae mmol/kg soil"	"1MW"		"yes"	"Yes"
"g/3.78 L"	"264.5502646"		"yes"	"Yes"
"ng/g bdwt"	"0.001"		"yes"	"Yes"
"mg/500 g soil"	"2"		"yes"	"Yes"
"g/100 g BW/d"	"10000"		"yes"	"Yes"
"AI mol/kg"	"0.001MW"		"yes"	"Yes"
"AI mg/ml diet"	"0.001"		"yes"	"Yes"
"ng/g wet bdwt/d"	"0.001"		"yes"	"Yes"
"g/kg bdwt/h"	"1000"		"yes"	"Yes"
"mg/g/d"	"1000"		"yes"	"Yes"
"ai kg/379 l"	"2638.522427"		"yes"	"Yes"
"AI 0/00"	"1000"		"yes"	"Yes"
"mg/g bdwt/d"	"1000"		"yes"	"Yes"
"mol/m3"	"1MW"		"yes"	"Yes"
"AI g/kg diet"	"0.001"		"yes"	"Yes"
"ppm w/w"	"1"		"yes"	"Yes"
"ug/25 mL"	"0.04"		"yes"	"Yes"
"ppt"	"0.000001"		"yes"	"Yes"
"0/00 v/v"	"1000"		"yes"	"Yes"
"0/00"	"1000"		"yes"	"Yes"
"ng/g/d"	"0.001"		"yes"	"Yes"
"mg/g sd"	"1000"		"yes"	"Yes"
"pg/g wet wt"	"0.000001"		"yes"	"Yes"
"AI mg/g sd"	"1000"		"yes"	"Yes"
"ppmv/eu"	"1"		"yes"	"Yes"
"AI ppm soil w/w"	"1"		"yes"	"Yes"
"mg/kg dw org/d"	"1"		"yes"	"Yes"
"AI ng/g diet"	"0.001"		"yes"	"Yes"
"ng/g bdwt/d"	"0.001"		"yes"	"Yes"
"ng/g wet wt/d/pair"	"0.001"		"yes"	"Yes"
"pg/g egg"	"0.000001"		"yes"	"Yes"
"ng/g org/d"	"0.001"		"yes"	"Yes"
"pg/g diet"	"0.000001"		"yes"	"Yes"
"g/gal/4 ft2 soil"	"264.1720373"		"yes"	"Yes"
"g/3 gal soil"	"88.05734576"		"yes"	"Yes"
"g/100 g"	"10000"		"yes"	"Yes"
"ppm/mi"	"1"		"yes"	"Yes"
"AI g/ml"	"0.000001"		"yes"	"Yes"
"AI ppt"	"0.000001"		"yes"	"Yes"
"AI ppm H2O"	"1"		"yes"	"Yes"
"AI ppm w/w"	"1"		"yes"	"Yes"
"AI ng/g bdwt"	"0.001"		"yes"	"Yes"
"AI mg/g wet wt diet"	"1000"		"yes"	"Yes"
"pg/g"	"0.000001"		"yes"	"Yes"
"ng/g org"	"0.001"		"yes"	"Yes"
"g/gal"	"264.1720373"		"yes"	"Yes"
"ng/g dry wt"	"0.001"		"yes"	"Yes"
"pg/g TI"	"0.000001"		"yes"	"Yes"
"AI ng/g org"	"0.001"		"yes"	"Yes"
"AI mg/g diet"	"1000"		"yes"	"Yes"
"g/100 kg"	"10"		"yes"	"Yes"
"mg/100 g sd"	"10"		"yes"	"Yes"
"AI mg/kg bdwt/d"	"1"		"yes"	"Yes"
"AI ppm soil"	"1"		"yes"	"Yes"
"AI g/kg bdwt"	"1000"		"yes"	"Yes"
"g/kg dry sd"	"1000"		"yes"	"Yes"
"AI mg/100 kg"	"0.01"		"yes"	"Yes"
"g/1.7 kg soil"	"588.2352941"		"yes"	"Yes"
"AI ug/L diet"	"0.001"		"yes"	"Yes"
"mg/kg egg"	"1"		"yes"	"Yes"
"AI ppb diet"	"0.001"		"yes"	"Yes"
"ng/ul"	"1"		"yes"	"Yes"
"mg/250 g bdwt"	"4"		"yes"	"Yes"
"AI g/100 kg"	"10"		"yes"	"Yes"
"AI mg/L diet"	"1"		"yes"	"Yes"
"AI ppmw/soil vol"	"1"		"yes"	"Yes"
"AI kg/100 kg sd"	"10000"		"yes"	"Yes"
"mg/kg seed"	"1"		"yes"	"Yes"
"AI g/1100 L"	"0.9090909091"		"yes"	"Yes"
"g/kg sd"	"1"		"yes"	"Yes"
"AI g/10 kg sd"	"0.1"		"yes"	"Yes"
"mg/kg/org"	"1"		"yes"	"Yes"
"AI g/L diet"	"1000"		"yes"	"Yes"
"AI mg/kg/d"	"1"		"yes"	"Yes"
"ng eq/ml"	"0.001"		"yes"	"Yes"
"ppm-d"	"1"		"yes"	"Yes"
"g/50 ml"	"20000"		"yes"	"Yes"
"AI g/6 L"	"166.6666667"		"yes"	"Yes"
"mmol/100 g bdwt"	"10MW"		"yes"	"Yes"
"pg/ul"	"0.001"		"yes"	"Yes"
"mol/ml"	"0.000000000001MW"		"yes"	"Yes"
"pg/ml"	"0.001"		"yes"	"Yes"
"mg/kg/fish"	"1"		"yes"	"Yes"
"ug/mg bdwt"	"1000"		"yes"	"Yes"
"g/6 L"	"166.6666667"		"yes"	"Yes"
"g/L diet"	"1000"		"yes"	"Yes"
"g/1000 ml"	"1000"		"yes"	"Yes"
"AI g/379 L"	"2.638522427"		"yes"	"Yes"
"nmol/kg bdwt"	"0.001MW"		"yes"	"Yes"
"g/300 g seed"	"3333.333333"		"yes"	"Yes"
"AI mg/2 L diet"	"0.5"		"yes"	"Yes"
"nmol/mol"	"0.0000000556MW"	"1mol of H2O = 18g/mole"	"yes"	"Yes"
"g/4719 cm3 soil"	"211.9093028"		"yes"	"Yes"
"pg/dm3"	"0.000001"		"yes"	"Yes"
"g/dl"	"10000"		"yes"	"Yes"
"AI mg/250 ml soil"	"4"		"yes"	"Yes"
"ng/45 ml"	"0.0000222222"		"yes"	"Yes"
"AI g/dm3"	"1000000"		"yes"	"Yes"
"AI g/3 ml/m"	"333333.3333"		"yes"	"Yes"
"AI mg/100 cm3"	"10"		"yes"	"Yes"
"mg/3 ml"	"333.3333333"		"yes"	"Yes"
"kg/100 L"	"10000"		"yes"	"Yes"
"ug/10 L"	"0.0001"		"yes"	"Yes"
"mg/kg bdwt/wk"	"1"		"yes"	"Yes"
"uM/h"	"0.001MW"		"yes"	"Yes"
"AI g/378 L"	"2.645502646"		"yes"	"Yes"
"mg/10 g sd"	"100"		"yes"	"Yes"
"mgdrydiet/gwetbdwt/d"	"1000"		"yes"	"Yes"
"g/20 L"	"50"		"yes"	"Yes"
"AI kg/227.3 l/0.4 ha"	"3606.202669"		"yes"	"Yes"
"mg/100 L"	"0.01"		"yes"	"Yes"
"lb/gal"	"599.13214"		"yes"	"Yes"
"g/3 kg seed"	"333.3333333"		"yes"	"Yes"
"ug/5 ml"	"0.2"		"yes"	"Yes"
"mg/100 ml diet"	"10"		"yes"	"Yes"
"cmol/kg"	"0.01MW"		"yes"	"Yes"
"kg/ton sd"	"1000"		"yes"	"Yes"
"AI ppm dry soil"	"1"		"yes"	"Yes"
"ug/50 ml"	"0.02"		"yes"	"Yes"
"AI ng/uL diet/d"	"1"		"yes"	"Yes"
"ppm diet/d"	"1"		"yes"	"Yes"
"AI mg/50 ml H2O"	"20"		"yes"	"Yes"
"AI g/100 g sd"	"10000"		"yes"	"Yes"
"ug/3.5 L"	"0.0000002857"		"yes"	"Yes"
"AI lb/10 gal"	"59.913214"		"yes"	"Yes"
"kg/300 L/ha"	"3333.333333"		"yes"	"Yes"
"mg/100 g diet"	"10"		"yes"	"Yes"
"mg/150 ml"	"6.666666667"		"yes"	"Yes"
"ppm w/w diet"	"1"		"yes"	"Yes"
"g/L soil"	"1000"		"yes"	"Yes"
"mg/300 g"	"3.333333333"		"yes"	"Yes"
"ug/L diet"	"0.001"		"yes"	"Yes"
"g/20 L diet"	"50"		"yes"	"Yes"
"ng/200 mg diet"	"0.005"		"yes"	"Yes"
"g/hL"	"10"	"1hL=100L"	"yes"	"Yes"
"ng/20 ul diet"	"0.05"		"yes"	"Yes"
"mmol/100 g"	"10MW"		"yes"	"Yes"
"AI ug/0.5 ul"	"2000"		"yes"	"Yes"
"mg/kg humus"	"1"		"yes"	"Yes"
"ae mg/kg bdwt/d"	"1"		"yes"	"Yes"
"AI ug/ml diet"	"1"		"yes"	"Yes"
"g/1.2 kg soil"	"833.3333333"		"yes"	"Yes"
"AI M"	"1000MW"		"yes"	"Yes"
"AI mg/ml"	"1000"		"yes"	"Yes"
"mg/20 cm3"	"50"		"yes"	"Yes"
"ai mg/kg seed"	"1"		"yes"	"Yes"
"g/100 L soil"	"10"		"yes"	"Yes"
"ug/g eu/35 ml"			"no"	"Yes"
"mg/kg diet/d"	"1"		"yes"	"Yes"
"ug/100 ml diet"	"0.01"		"yes"	"Yes"
"ng/m3"	"0.000000001"		"yes"	"Yes"
"AI g/L soil"	"1000"		"yes"	"Yes"
"ppm H2O"	"1"		"yes"	"Yes"
"AI lb/100 gal/acre"	"5.9913214"		"yes"	"Yes"
"ae mg/kg"	"1"		"yes"	"Yes"
"g/379 L"	"2.638522427"		"yes"	"Yes"
"mg/650 g soil"	"1.538461539"		"yes"	"Yes"
"mg/200 ml"	"5"		"yes"	"Yes"
"g/3.79 L"	"263.8522427"		"yes"	"Yes"
"ng/kg diet"	"1"		"yes"	"Yes"
"ug/h/100 g"	"0.01"		"yes"	"Yes"
"ug/mg org"	"1000"		"yes"	"Yes"
"AI g/kg soil"	"1000"		"yes"	"Yes"
"g/ml"	"1000000"		"yes"	"Yes"
"g/37.9 L/0.1 ha"	"26.38522427"		"yes"	"Yes"
"AI kg/378 L"	"2645.502646"		"yes"	"Yes"
"mmol/m3"	"0.001MW"		"yes"	"Yes"
"ae g/200 L"	"5"		"yes"	"Yes"
"mg/25 mL"	"40"		"yes"	"Yes"
"AI mg/dm3"	"1"		"yes"	"Yes"
"AI mg/kg egg wt"	"1"		"yes"	"Yes"
"AI g/10 L"	"100"		"yes"	"Yes"
"ppm wet wt diet"	"1"		"yes"	"Yes"
"ug/0.25 ml/org/d"	"4"		"yes"	"Yes"
"g/2.5 kg soil"	"400"		"yes"	"Yes"
"AI g/200 L"	"5"		"yes"	"Yes"
"g/170 ml"	"5882.352941"		"yes"	"Yes"
"AI lb/11 gal/acre"	"54.46655818"		"yes"	"Yes"
"M diet"	"1000MW"		"yes"	"Yes"
"AI ng/ul diet"	"1"		"yes"	"Yes"
"mg/100 ml"	"10"		"yes"	"Yes"
"ug/m3"	"0.000001"		"yes"	"Yes"
"kg/3.78 L"	"264550.2646"		"yes"	"Yes"
"ppm solvent"	"1"		"yes"	"Yes"
"mg/500 ml"	"2"		"yes"	"Yes"
"g/946 ml"	"1057.082452"		"yes"	"Yes"
"AI g/kg"	"1000"		"yes"	"Yes"
"g/l/m2"	"1000"		"yes"	"Yes"
"ng/100 ml diet"	"0.00001"		"yes"	"Yes"
"ppmv"	"1"		"yes"	"Yes"
"ng/25 mL"	"0.00004"		"yes"	"Yes"
"pg/L"	"0.000001"		"yes"	"Yes"
"g/10.2 L"	"98.03921569"		"yes"	"Yes"
"mg/1.2 kg soil"	"0.8333333333"		"yes"	"Yes"
"g/1.8 kg sd"	"555.5555556"		"yes"	"Yes"
"ppm for 36 hr"	"1"		"yes"	"Yes"
"kg/100 kg sd"	"10000"		"yes"	"Yes"
"nM/org"	"0.000001MW"		"yes"	"Yes"
"AI lb/100 gal"	"5.9913214"		"yes"	"Yes"
"ug/100 g bdwt/d"	"0.01"		"yes"	"Yes"
"mg/kg/min"	"1"		"yes"	"Yes"
"pmol/ml"	"1MW"		"yes"	"Yes"
"g/kg dry diet"	"1000"		"yes"	"Yes"
"g/500 ml"	"2000"		"yes"	"Yes"
"g/ml/eu"	"1000000"		"yes"	"Yes"
"ug/mg diet"	"1000"		"yes"	"Yes"
"mg/100 g bw/d"	"10"		"yes"	"Yes"
"AI g/25 ml/m"	"40000"		"yes"	"Yes"
"ae ug/L"	"0.001"		"yes"	"Yes"
"nM diet"	"0.000001MW"		"yes"	"Yes"
"AI pph sd"	"10000"		"yes"	"Yes"
"AI oz/lb seed"	"62499.94488"	"1oz=0.0283495kg"	"yes"	"Yes"
"oz/1000 ft3"	"1.001153144"	"1ft=0.3048m"	"yes"	"Yes"
"oz/cwt sd"	"558.2321004"	"1cwt=50.80234544kg"	"yes"	"Yes"
"oz/cwt"	"558.2321004"		"yes"	"Yes"
"g/lb seed"	"2204.622476"		"yes"	"Yes"
"mg/quintal"	"0.01"	"1qt=100kg"	"yes"	"Yes"
"ai oz/bu"	"944.039294"	"1bushel=30.03kg"	"yes"	"Yes"
"fl oz/cwt"	"558.2321004"		"yes"	"Yes"
"oz/bu"	"944.039294"	"1bushel=30.03kg"	"yes"	"Yes"
"AI oz/cwt sd"	"558.2321004"		"yes"	"Yes"
"mg/40 ml diet"	"25"		"yes"	"Yes"
"AI g/100 gal"	"2.641720373"		"yes"	"Yes"
"qt/gal"	"26417203.73"		"yes"	"Yes"
"pt/40 gal"			"no"	"Yes"
"pt/30 gal"			"no"	"Yes"
"lb/100 lb sd"	"10000"		"yes"	"Yes"
"lb/cwt sd"	"8928.572019"		"yes"	"Yes"
"umol/mol"	"0.0555555556MW"		"yes"	"Yes"
"oz/100 lb seed"	"624.9994488"		"yes"	"Yes"
"AI lb/cwt sd"	"8928.572019"		"yes"	"Yes"
"qt/100 gal"	"264172.0373"		"yes"	"Yes"
"g/4000 cm3 soil"	"250"		"yes"	"Yes"
"AI g/2000 cm3 soil"	"500"		"yes"	"Yes"
"g/bushel"	"33.3000333"		"yes"	"Yes"
"mg/15 g diet"	"66.6666666667"		"yes"	"Yes"
"ug/g wet diet/d"	"1"		"yes"	"Yes"
"ml/1000 L"		"volume/volume, need density of the substance to convert"	"no"	"No"
"ppm/g diet"		"per gram"	"no"	"No"
"AI g/m2 canopy"		"Area"	"no"	"No"
"lb/5 gal/acre"	"0.0239652857"	"1gal=3.785412L; 1lb=0.4535924kg"	"yes"	"No"
"AI ug/kg wet media"	"0.001"		"yes"	"No"
"ml/45 mi"		"volume/distance"	"no"	"No"
"ppm/d"	"1"		"yes"	"No"
