CAS	Chemical	Latin Name	Group	Conc
10043-35-3	Boric acid	Carassius auratus	Fish	101.08157603364879
10043-35-3	Boric acid	Danio rerio	Fish	234.2535345002358
10043-35-3	Boric acid	Daphnia magna	Crustaceans	187.058985228409
10043-35-3	Boric acid	Ictalurus punctatus	Fish	93.52857293314837
10043-35-3	Boric acid	Lepomis macrochirus	Fish	1020.9999999999998
10043-35-3	Boric acid	Litopenaeus vannamei	Crustaceans	145.03303863147121
10043-35-3	Boric acid	Micropterus salmoides	Fish	92.00000000000001
10043-35-3	Boric acid	Oncorhynchus mykiss	Fish	129.18923893943094
10043-35-3	Boric acid	Oncorhynchus tshawytscha	Fish	704.4114749046978
10043-35-3	Boric acid	Paralichthys olivaceus	Fish	212.176940205825
1071-83-6	Glyphosate	Artemia franciscana	Crustaceans	262.57436555296124
1071-83-6	Glyphosate	Carassius auratus	Fish	6209.704142710828
1071-83-6	Glyphosate	Clarias gariepinus	Fish	0.53
1071-83-6	Glyphosate	Crassostrea gigas	Molluscs	23.5254571983225
1071-83-6	Glyphosate	Cyprinus carpio	Fish	110.86919543605255
1071-83-6	Glyphosate	Danio rerio	Fish	38.13053238547817
1071-83-6	Glyphosate	Daphnia magna	Crustaceans	60.14262100306903
1071-83-6	Glyphosate	Ictalurus punctatus	Fish	10.768165159374487
1071-83-6	Glyphosate	Lepomis macrochirus	Fish	33.56045558379758
1071-83-6	Glyphosate	Oncorhynchus gorbuscha	Fish	70.5193010815545
1071-83-6	Glyphosate	Oncorhynchus mykiss	Fish	120.69576098761704
1071-83-6	Glyphosate	Oncorhynchus tshawytscha	Fish	71.72623821784501
1071-83-6	Glyphosate	Pimephales promelas	Fish	19.590221765926945
1071-83-6	Glyphosate	Poecilia reticulata	Fish	180.0
1071-83-6	Glyphosate	Salmo trutta	Fish	5.4
121-75-5	Malathion	Anguilla japonica	Fish	6.715653356152326
121-75-5	Malathion	Artemia salina	Crustaceans	105.79934803791434
121-75-5	Malathion	Carassius auratus	Fish	13.758290048594635
121-75-5	Malathion	Channa striata	Fish	7.999999999999998
121-75-5	Malathion	Cirrhinus mrigala	Fish	3.654761697761027
121-75-5	Malathion	Clarias gariepinus	Fish	5.30211278642769
121-75-5	Malathion	Colossoma macropomum	Fish	1.5070000000000001
121-75-5	Malathion	Cyprinus carpio	Fish	6.74563308701075
121-75-5	Malathion	Danio rerio	Fish	0.03525544097086964
121-75-5	Malathion	Daphnia magna	Crustaceans	0.000953080250406006
121-75-5	Malathion	Gambusia holbrooki	Fish	12.779999999999998
121-75-5	Malathion	Homarus americanus	Crustaceans	0.011857487086225313
121-75-5	Malathion	Ictalurus punctatus	Fish	15.301293138728434
121-75-5	Malathion	Labeo rohita	Fish	1.68210025277439
121-75-5	Malathion	Lepomis macrochirus	Fish	0.11665469639113786
121-75-5	Malathion	Lithobates catesbeianus	Amphibians	1.5
121-75-5	Malathion	Litopenaeus vannamei	Crustaceans	0.021459999999999996
121-75-5	Malathion	Macrobrachium rosenbergii	Crustaceans	0.03749591303021195
121-75-5	Malathion	Micropterus salmoides	Fish	0.3277759949634996
121-75-5	Malathion	Oncorhynchus mykiss	Fish	0.8729640786267913
121-75-5	Malathion	Oncorhynchus tshawytscha	Fish	0.06080467109058286
121-75-5	Malathion	Oreochromis niloticus	Fish	13.772086095851186
121-75-5	Malathion	Penaeus monodon	Crustaceans	0.5017057701825312
121-75-5	Malathion	Pimephales promelas	Fish	13.432802854685052
121-75-5	Malathion	Poecilia reticulata	Fish	1.287392869019868
121-75-5	Malathion	Procambarus clarkii	Crustaceans	4.867220465116002
121-75-5	Malathion	Salmo salar	Fish	0.10276186062932102
121-75-5	Malathion	Salmo trutta	Fish	0.15079878197678864
121-75-5	Malathion	Tilapia sp.	Fish	0.045989999999999996
121-75-5	Malathion	Trichogaster pectoralis	Fish	0.9832
12125-02-9	Ammonium chloride	Acipenser baerii	Fish	71.78742429534044
12125-02-9	Ammonium chloride	Acipenser ruthenus	Fish	0.11000000000000001
12125-02-9	Ammonium chloride	Anguilla anguilla	Fish	1.0
12125-02-9	Ammonium chloride	Arbacia lixula	Invertebrates	4.17
12125-02-9	Ammonium chloride	Artemia salina	Crustaceans	20.21880312976018
12125-02-9	Ammonium chloride	Cirrhinus mrigala	Fish	15.836955443756983
12125-02-9	Ammonium chloride	Ctenopharyngodon idella	Fish	1.05
12125-02-9	Ammonium chloride	Cyprinus carpio	Fish	20.98125981072825
12125-02-9	Ammonium chloride	Danio rerio	Fish	8.248127060127045
12125-02-9	Ammonium chloride	Daphnia magna	Crustaceans	51.12413865316324
