CAS	Chemical	Latin Name	Group	Conc
50-00-0	Formalin	Lepomis macrochirus	Fish	49.99999999999999
50-00-0	Formalin	Lithobates catesbeianus	Amphibians	0.5
50-00-0	Formalin	Oncorhynchus mykiss	Fish	184.97961807151808
50-00-0	Formalin	Oncorhynchus tshawytscha	Fish	396.1842128312581
50-00-0	Formalin	Oreochromis niloticus	Fish	57.294416562406475
50-00-0	Formalin	Paracentrotus lividus	Invertebrates	0.5
50-00-0	Formalin	Paralichthys olivaceus	Fish	225.35038981975117
50-00-0	Formalin	Penaeus monodon	Crustaceans	743.0561134273985
50-00-0	Formalin	Pimephales promelas	Fish	999.9999999999998
50-00-0	Formalin	Salmo salar	Fish	249.9999999999999
50-00-0	Formalin	Salmo trutta	Fish	1999.9999999999998
50-00-0	Formalin	Sebastes schlegelii	Fish	440.0558683966968
50-00-0	Formalin	Seriola lalandi	Fish	316.22776601683796
50-00-0	Formalin	Sparus aurata	Fish	7.999999999999998
52-68-6	Metriphonate	Carassius auratus	Fish	0.6299605249474366
52-68-6	Metriphonate	Cyprinus carpio	Fish	2.038837772750019
52-68-6	Metriphonate	Danio rerio	Fish	25.198420997897465
52-68-6	Metriphonate	Daphnia magna	Crustaceans	1.3538655872003634e-05
52-68-6	Metriphonate	Ictalurus punctatus	Fish	0.25
52-68-6	Metriphonate	Lepomis macrochirus	Fish	6.999999999999999
52-68-6	Metriphonate	Macrobrachium rosenbergii	Crustaceans	0.2344977302234376
52-68-6	Metriphonate	Oncorhynchus mykiss	Fish	0.04000000000000001
52-68-6	Metriphonate	Oreochromis niloticus	Fish	4.784541002978181
52-68-6	Metriphonate	Pangasianodon hypophthalmus	Fish	0.10950921580176305
52-68-6	Metriphonate	Piaractus mesopotamicus	Fish	0.008817203690048514
52-68-6	Trichlorfon	Carassius auratus	Fish	0.6299605249474366
52-68-6	Trichlorfon	Cyprinus carpio	Fish	2.038837772750019
52-68-6	Trichlorfon	Danio rerio	Fish	25.198420997897465
52-68-6	Trichlorfon	Daphnia magna	Crustaceans	1.3538655872003634e-05
52-68-6	Trichlorfon	Ictalurus punctatus	Fish	0.25
52-68-6	Trichlorfon	Lepomis macrochirus	Fish	6.999999999999999
52-68-6	Trichlorfon	Macrobrachium rosenbergii	Crustaceans	0.2344977302234376
52-68-6	Trichlorfon	Oncorhynchus mykiss	Fish	0.04000000000000001
52-68-6	Trichlorfon	Oreochromis niloticus	Fish	4.784541002978181
52-68-6	Trichlorfon	Pangasianodon hypophthalmus	Fish	0.10950921580176305
52-68-6	Trichlorfon	Piaractus mesopotamicus	Fish	0.008817203690048514
52315-07-8	Cypermethrin	Channa striata	Fish	1.05600489743673
52315-07-8	Cypermethrin	Cyprinus carpio	Fish	0.006775478066620451
52315-07-8	Cypermethrin	Danio rerio	Fish	0.004773972018143209
52315-07-8	Cypermethrin	Daphnia magna	Crustaceans	0.00014461864224002432
52315-07-8	Cypermethrin	Homarus americanus	Crustaceans	3.535533905932737e-05
52315-07-8	Cypermethrin	Labeo rohita	Fish	0.008468749758036957
52315-07-8	Cypermethrin	Lepomis macrochirus	Fish	0.0011393633298342057
52315-07-8	Cypermethrin	Oncorhynchus mykiss	Fish	0.004044453914557644
52315-07-8	Cypermethrin	Oreochromis niloticus	Fish	0.00019574338205844314
52315-07-8	Cypermethrin	Pimephales promelas	Fish	9.165151389911678e-05
52315-07-8	Cypermethrin	Rhamdia quelen	Fish	0.09993184753184696
52315-07-8	Cypermethrin	Salmo salar	Fish	0.0001271837464746459
52315-07-8	Cypermethrin	Tilapia sp.	Fish	0.0022360679774997894
52645-53-1	Permethrin	Channa striata	Fish	1.131370849898476
52645-53-1	Permethrin	Crassostrea gigas	Molluscs	1.6837458240482737
52645-53-1	Permethrin	Cyprinus carpio	Fish	0.0032999999999999987
52645-53-1	Permethrin	Danio rerio	Fish	0.02729036034654133
52645-53-1	Permethrin	Daphnia magna	Crustaceans	0.0002184043492497134
52645-53-1	Permethrin	Ictalurus punctatus	Fish	0.004200000000000002
52645-53-1	Permethrin	Lepomis macrochirus	Fish	0.0029017389129688672
52645-53-1	Permethrin	Oncorhynchus mykiss	Fish	0.01564190283721691
52645-53-1	Permethrin	Pimephales promelas	Fish	0.0012784359187348248
52645-53-1	Permethrin	Salmo salar	Fish	0.0007500000000000002
52918-63-5	Deltamethrin	Anguilla anguilla	Fish	8.122523963562356e-05
52918-63-5	Deltamethrin	Carassius auratus	Fish	0.0020000000000000005
52918-63-5	Deltamethrin	Clarias gariepinus	Fish	0.02738612787525831
52918-63-5	Deltamethrin	Cyprinus carpio	Fish	0.0007894663225010002
52918-63-5	Deltamethrin	Danio rerio	Fish	0.0033238112381409916
52918-63-5	Deltamethrin	Daphnia magna	Crustaceans	0.0004578619392832241
52918-63-5	Deltamethrin	Lepomis macrochirus	Fish	0.00020248456731316604
52918-63-5	Deltamethrin	Oncorhynchus mykiss	Fish	0.0003923666973997181
52918-63-5	Deltamethrin	Oreochromis niloticus	Fish	0.003158108788141841
52918-63-5	Deltamethrin	Penaeus monodon	Crustaceans	6.839337033456337e-05
52918-63-5	Deltamethrin	Pimephales promelas	Fish	1.8131860172051655e-05
52918-63-5	Deltamethrin	Poecilia reticulata	Fish	0.15
52918-63-5	Deltamethrin	Procambarus clarkii	Crustaceans	1.22822802611579e-05
52918-63-5	Deltamethrin	Salmo salar	Fish	0.02
52918-63-5	Deltamethrin	Sparus aurata	Fish	0.00010000000000000009
52918-63-5	Deltamethrin	Tilapia sp.	Fish	0.02000000000000001
52918-63-5	Deltametrin	Anguilla anguilla	Fish	8.122523963562356e-05
52918-63-5	Deltametrin	Carassius auratus	Fish	0.0020000000000000005
52918-63-5	Deltametrin	Clarias gariepinus	Fish	0.02738612787525831
52918-63-5	Deltametrin	Cyprinus carpio	Fish	0.0007894663225010002
52918-63-5	Deltametrin	Danio rerio	Fish	0.0033238112381409916
52918-63-5	Deltametrin	Daphnia magna	Crustaceans	0.0004578619392832241
52918-63-5	Deltametrin	Lepomis macrochirus	Fish	0.00020248456731316604
52918-63-5	Deltametrin	Oncorhynchus mykiss	Fish	0.0003923666973997181
52918-63-5	Deltametrin	Oreochromis niloticus	Fish	0.003158108788141841
52918-63-5	Deltametrin	Penaeus monodon	Crustaceans	6.839337033456337e-05
52918-63-5	Deltametrin	Pimephales promelas	Fish	1.8131860172051655e-05
52918-63-5	Deltametrin	Poecilia reticulata	Fish	0.15
52918-63-5	Deltametrin	Procambarus clarkii	Crustaceans	1.22822802611579e-05
52918-63-5	Deltametrin	Salmo salar	Fish	0.02
52918-63-5	Deltametrin	Sparus aurata	Fish	0.00010000000000000009
52918-63-5	Deltametrin	Tilapia sp.	Fish	0.02000000000000001
569-64-2	Malachite green	Artemia salina	Crustaceans	0.005999999999999998
569-64-2	Malachite green	Carassius auratus	Fish	1.0
569-64-2	Malachite green	Cyprinus carpio	Fish	3.0000000000000004
